country,country_code,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,happiness_rank
Finland,,Europe,7.6320000000000014,1.305,1.592,0.8740000000000001,0.6809999999999999,0.202,,1
Norway,,Europe,7.5939999999999985,1.456,1.582,0.861,0.6859999999999999,0.286,,2
Denmark,,Europe,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,,3
Iceland,,Europe,7.495,1.3430000000000002,1.644,0.914,0.677,0.353,,4
Switzerland,CHE,Europe,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,,5
Netherlands,,Europe,7.441,1.361,1.4880000000000002,0.878,0.638,0.333,,6
Canada,,North America,7.3279999999999985,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,,7
New Zealand,,Australia,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,,8
Sweden,,Europe,7.314,1.355,1.501,0.913,0.659,0.285,,9
Australia,,Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,,10
United Kingdom,GBR,Europe,7.19,1.244,1.433,0.888,0.464,0.262,,11
Austria,,Europe,7.1389999999999985,1.341,1.504,0.8909999999999999,0.617,0.242,,12
Costa Rica,,South America,7.072,1.01,1.459,0.8170000000000001,0.632,0.143,,13
Ireland,,Europe,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,,14
Germany,,Europe,6.965,1.34,1.474,0.861,0.586,0.273,,15
Belgium,,Europe,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,,16
Luxembourg,,Europe,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,,17
United States,USA,North America,6.886,1.398,1.471,0.8190000000000001,0.547,0.291,,18
Israel,,Asia,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,,19
United Arab Emirates,,Asia,6.774,2.096,0.7759999999999999,0.67,0.284,0.186,,20
Czech Republic,,Europe,6.711,1.233,1.489,0.8540000000000001,0.5429999999999999,0.064,,21
Malta,,Europe,6.627000000000002,1.27,1.525,0.884,0.645,0.376,,22
France,,Europe,6.489,1.293,1.466,0.908,0.52,0.098,,23
Mexico,,North America,6.488,1.038,1.252,0.7609999999999999,0.479,0.069,,24
Chile,,South America,6.476,1.131,1.331,0.8079999999999999,0.431,0.197,,25
Panama,,South America,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,,26
Brazil,,South America,6.419,0.986,1.474,0.675,0.493,0.11,,27
Argentina,,South America,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,,28
Guatemala,,South America,6.3820000000000014,0.7809999999999999,1.268,0.608,0.604,0.179,,29
Uruguay,,South America,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,,30
Saudi Arabia,,Asia,6.371,1.379,1.331,0.633,0.509,0.098,,31
Singapore,,Asia,6.343,1.529,1.4509999999999998,1.008,0.631,0.261,,32
Malaysia,,Asia,6.322,1.161,1.258,0.669,0.356,0.311,,33
Spain,,Europe,6.31,1.251,1.538,0.965,0.449,0.142,,34
Colombia,,South America,6.26,0.96,1.439,0.635,0.531,0.099,,35
Slovakia,,Europe,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.118,,36
El Salvador,,South America,6.1670000000000025,0.8059999999999999,1.231,0.639,0.461,0.065,,37
Nicaragua,,South America,6.141,0.6679999999999999,1.319,0.7,0.527,0.208,,38
Poland,,Europe,6.1229999999999976,1.176,1.4480000000000002,0.7809999999999999,0.546,0.108,,39
Bahrain,,Asia,6.105,1.338,1.366,0.698,0.594,0.243,,40
Uzbekistan,,Asia,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.328,,41
Kuwait,,Asia,6.0829999999999975,1.474,1.301,0.675,0.5539999999999999,0.1669999999999999,,42
Thailand,,Asia,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,,43
Italy,,Europe,6.0,1.264,1.501,0.946,0.281,0.1369999999999999,,44
Ecuador,,South America,5.973,0.889,1.33,0.736,0.556,0.114,,45
Lithuania,,Europe,5.952000000000001,1.197,1.527,0.716,0.35,0.026,,46
Slovenia,,Europe,5.948,1.219,1.506,0.856,0.633,0.16,,47
Romania,,Europe,5.945,1.116,1.219,0.726,0.528,0.088,,48
Latvia,,Europe,5.933,1.148,1.454,0.6709999999999999,0.363,0.092,,49
Japan,,Asia,5.915,1.294,1.462,0.988,0.5529999999999999,0.079,,50
Mauritius,,Africa,5.891,1.09,1.3869999999999998,0.684,0.584,0.245,,51
Jamaica,,South America,5.89,0.8190000000000001,1.493,0.693,0.575,0.096,,52
South Korea,,Asia,5.875,1.266,1.204,0.955,0.244,0.175,,53
Russia,,Europe,5.81,1.151,1.479,0.599,0.399,0.065,,54
Kazakhstan,,Asia,5.79,1.143,1.516,0.631,0.454,0.148,,55
Cyprus,,Asia,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.202,,56
Bolivia,,South America,5.752000000000002,0.7509999999999999,1.223,0.508,0.606,0.141,,57
Estonia,,Europe,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,,58
Paraguay,,South America,5.681,0.835,1.5219999999999998,0.615,0.541,0.162,,59
Peru,,South America,5.6629999999999985,0.934,1.249,0.674,0.53,0.092,,60
Kosovo,,Europe,5.662000000000001,0.855,1.23,0.578,0.448,0.274,,61
Moldova,,Europe,5.64,0.657,1.301,0.62,0.232,0.171,,62
Turkmenistan,,Asia,5.636,1.016,1.533,0.517,0.417,0.199,,63
Hungary,,Europe,5.62,1.171,1.401,0.732,0.259,0.061,,64
Libya,,Africa,5.566,0.985,1.35,0.5529999999999999,0.496,0.116,,65
Philippines,,Asia,5.524,0.775,1.3119999999999998,0.513,0.643,0.12,,66
Honduras,,South America,5.504,0.62,1.205,0.622,0.459,0.197,,67
Belarus,,Europe,5.483,1.039,1.4980000000000002,0.7,0.307,0.101,,68
Turkey,,Asia,5.483,1.148,1.38,0.6859999999999999,0.324,0.106,,69
Pakistan,,Asia,5.472,0.652,0.81,0.424,0.334,0.216,,70
Portugal,,Europe,5.41,1.188,1.429,0.884,0.562,0.055,,71
Serbia,,Europe,5.398,0.975,1.369,0.685,0.288,0.134,,72
Lebanon,,Asia,5.358,0.965,1.179,0.785,0.503,0.214,,73
Greece,,Europe,5.358,1.154,1.202,0.879,0.131,0.0,,74
Montenegro,,Europe,5.347,1.017,1.279,0.7290000000000001,0.259,0.111,,75
Croatia,,Europe,5.3210000000000015,1.115,1.161,0.737,0.38,0.12,,76
Dominican Republic,,South America,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,,77
Algeria,,Africa,5.295,0.979,1.154,0.687,0.077,0.055,,78
Morocco,,Africa,5.254,0.779,0.797,0.669,0.46,0.026,,79
China,CHN,Asia,5.246,0.989,1.142,0.799,0.597,0.029,,80
Azerbaijan,,Asia,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,,81
Tajikistan,,Asia,5.199,0.474,1.166,0.598,0.292,0.187,,82
Jordan,,Asia,5.1610000000000005,0.8220000000000001,1.265,0.645,0.468,0.13,,83
Nigeria,,Africa,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,,84
Kyrgyzstan,,Asia,5.131,0.53,1.416,0.594,0.54,0.281,,85
Bosnia and Herzegovina,,Europe,5.129,0.915,1.078,0.758,0.28,0.216,,86
Mongolia,,Asia,5.125,0.914,1.517,0.575,0.395,0.253,,87
Vietnam,,Asia,5.103,0.715,1.365,0.7020000000000001,0.618,0.177,,88
Indonesia,,Asia,5.093,0.899,1.215,0.522,0.5379999999999999,0.484,,89
Cameroon,,Africa,4.975,0.535,0.8909999999999999,0.182,0.454,0.183,,90
Bulgaria,,Europe,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,,91
Nepal,,Asia,4.88,0.425,1.228,0.539,0.526,0.302,,92
Venezuela,,South America,4.806,0.996,1.469,0.657,0.133,0.056,,93
Gabon,,Africa,4.758,1.036,1.164,0.404,0.356,0.032,,94
Palestinian Territories,,Asia,4.743,0.642,1.217,0.602,0.266,0.086,,95
South Africa,,Africa,4.724,0.94,1.41,0.33,0.516,0.103,,96
Iran,,Asia,4.707,1.0590000000000002,0.7709999999999999,0.691,0.459,0.282,,97
Ivory Coast,,Africa,4.671,0.541,0.872,0.08,0.467,0.146,,98
Ghana,,Africa,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,,99
Senegal,,Africa,4.631,0.429,1.117,0.433,0.406,0.138,,100
