country,country_code,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,happiness_rank
Denmark,,Europe,7.526,1.4417799999999998,,0.79504,0.5794100000000001,0.36171,,1
Switzerland,CHE,Europe,7.508999999999999,1.52733,,0.86303,0.58557,0.28083,,2
Iceland,,Europe,7.501,1.42666,,0.8673299999999999,0.56624,0.47678,,3
Norway,,Europe,7.497999999999997,1.57744,,0.79579,0.59609,0.37895,,4
Finland,,Europe,7.4129999999999985,1.40598,,0.81091,0.57104,0.25492,,5
Canada,,North America,7.404,1.44015,,0.8276,0.5737,0.44834,,6
Netherlands,,Europe,7.338999999999999,1.46468,,0.8123100000000001,0.55211,0.47416,,7
New Zealand,,Australia,7.334,1.36066,,0.83096,0.5814699999999999,0.4940100000000001,,8
Australia,,Australia,7.313,1.44443,,0.8512,0.5683699999999999,0.47407,,9
Sweden,,Europe,7.291,1.45181,,0.83121,0.58218,0.38254,,10
Israel,,Asia,7.267,1.33766,,0.8491700000000001,0.36432,0.32288,,11
Austria,,Europe,7.119,1.45038,,0.80565,0.54355,0.32865,,12
United States,USA,North America,7.104,1.50796,,0.779,0.48163,0.41077,,13
Costa Rica,,South America,7.0870000000000015,1.06879,,0.76146,0.55225,0.22553,,14
Germany,,Europe,6.994,1.44787,,0.81487,0.53466,0.30452,,15
Brazil,,South America,6.952000000000001,1.08754,,0.61415,0.40425,0.1577599999999999,,16
Belgium,,Europe,6.9289999999999985,1.42539,,0.8195899999999999,0.51354,0.2424,,17
Ireland,,Europe,6.907,1.48341,,0.81455,0.54008,0.44963,,18
Luxembourg,,Europe,6.871,1.69752,,0.8454200000000001,0.5487,0.27571,,19
Mexico,,North America,6.778,1.1150799999999998,,0.71143,0.37709,0.11735,,20
Singapore,,Asia,6.739,1.64555,,0.94719,0.4877,0.32706,,21
United Kingdom,GBR,Europe,6.725,1.40283,,0.80991,0.50036,0.50156,,22
Chile,,South America,6.705,1.2167,,0.8188300000000001,0.37789,0.31595,,23
