LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,6084.18,6171.157,12255.336,472.267
174,Country/Area,910.0,Comoros,395.681,390.897,786.578,422.664
262,Country/Area,910.0,Djibouti,540.277,548.433,1088.709,46.968
232,Country/Area,910.0,Eritrea,1596.682,1643.512,3240.194,26.747
231,Country/Area,910.0,Ethiopia,58042.247,57695.135,115737.383,115.737
404,Country/Area,910.0,Kenya,25485.39,25717.438,51202.827,88.17
450,Country/Area,910.0,Madagascar,14156.202,14063.352,28219.554,48.504
454,Country/Area,910.0,Malawi,9272.383,9753.369,19025.752,201.22
480,Country/Area,910.0,Mauritius,645.489,640.782,1286.27,633.631
175,Country/Area,910.0,Mayotte,131.065,143.846,274.911,733.095
508,Country/Area,910.0,Mozambique,14452.298,15432.083,29884.38,38.002
638,Country/Area,910.0,Réunion,407.837,449.491,857.327,342.931
646,Country/Area,910.0,Rwanda,6211.66,6564.443,12776.103,527.72
690,Country/Area,910.0,Seychelles,64.243,53.408,117.65,257.441
706,Country/Area,910.0,Somalia,8030.601,8000.369,16030.971,25.554
728,Country/Area,910.0,South Sudan,5127.294,5296.09,10423.384,18.476
800,Country/Area,910.0,Uganda,21289.504,21710.133,42999.637,215.206
834,Country/Area,910.0,United Republic of Tanzania,29314.002,29860.889,59174.891,66.804
894,Country/Area,910.0,Zambia,9162.004,9351.836,18513.839,24.905
716,Country/Area,910.0,Zimbabwe,7243.442,8027.926,15271.368,39.476
24,Country/Area,911.0,Angola,16004.756,16370.877,32375.632,25.969
120,Country/Area,911.0,Cameroon,12713.836,12792.259,25506.095,54.728
140,Country/Area,911.0,Central African Republic,2411.803,2532.901,4944.703,7.937
148,Country/Area,911.0,Chad,8371.317,8313.906,16685.223,13.251
178,Country/Area,911.0,Congo,2808.561,2808.099,5616.661,16.447
180,Country/Area,911.0,Democratic Republic of the Congo,46104.7,46842.742,92947.442,40.999
226,Country/Area,911.0,Equatorial Guinea,884.853,785.324,1670.177,59.543
266,Country/Area,911.0,Gabon,1155.6,1112.105,2267.706,8.801
678,Country/Area,911.0,Sao Tome and Principe,106.334,107.058,213.392,222.283
12,Country/Area,912.0,Algeria,22118.792,21175.753,43294.546,18.178
818,Country/Area,912.0,Egypt,54305.283,53247.874,107553.158,108.045
434,Country/Area,912.0,Libya,3542.809,3408.223,6951.033,4.147
504,Country/Area,912.0,Morocco,18284.521,17926.376,36210.898,81.136
729,Country/Area,912.0,Sudan,22612.417,22935.758,45548.175,25.806
788,Country/Area,912.0,Tunisia,5890.077,5985.005,11875.081,76.401
732,Country/Area,912.0,Western Sahara,297.094,241.345,538.44,2.024
72,Country/Area,913.0,Botswana,1163.271,1168.812,2332.083,4.115
748,Country/Area,913.0,Eswatini,578.194,601.679,1179.874,67.953
426,Country/Area,913.0,Lesotho,1074.706,1134.699,2209.405,72.774
516,Country/Area,913.0,Namibia,1291.528,1358.966,2650.494,3.219
710,Country/Area,913.0,South Africa,28892.232,30695.654,59587.885,48.81
204,Country/Area,914.0,Benin,6372.298,6354.457,12726.755,112.866
854,Country/Area,914.0,Burkina Faso,10433.333,10528.62,20961.952,76.615
132,Country/Area,914.0,Cabo Verde,261.208,252.896,514.104,127.569
384,Country/Area,914.0,Côte d'Ivoire,14413.901,13779.108,28193.009,88.657
270,Country/Area,914.0,Gambia,1222.459,1234.384,2456.844,242.771
288,Country/Area,914.0,Ghana,15621.43,15637.515,31258.945,137.378
324,Country/Area,914.0,Guinea,6420.519,6613.828,13034.346,53.046
624,Country/Area,914.0,Guinea-Bissau,970.157,997.539,1967.696,69.975
430,Country/Area,914.0,Liberia,2514.226,2529.494,5043.721,52.364
466,Country/Area,914.0,Mali,10636.094,10432.31,21068.405,17.266
478,Country/Area,914.0,Mauritania,2183.789,2283.919,4467.708,4.335
562,Country/Area,914.0,Niger,11650.754,11297.004,22947.757,18.116
566,Country/Area,914.0,Nigeria,105789.799,103695.842,209485.641,230.009
654,Country/Area,914.0,Saint Helena,2.797,2.661,5.458,13.996
686,Country/Area,914.0,Senegal,8256.6,8096.322,16352.922,84.937
694,Country/Area,914.0,Sierra Leone,3853.32,3878.671,7731.991,107.778
768,Country/Area,914.0,Togo,4253.154,4209.914,8463.068,155.6
398,Country/Area,5500.0,Kazakhstan,9283.243,9926.312,19209.555,7.115
417,Country/Area,5500.0,Kyrgyzstan,3215.903,3278.131,6494.035,33.858
762,Country/Area,5500.0,Tajikistan,4664.169,4865.797,9529.966,66.597
795,Country/Area,5500.0,Turkmenistan,3331.757,3472.188,6803.944,14.479
860,Country/Area,5500.0,Uzbekistan,16612.447,16352.254,32964.701,77.491
156,Country/Area,906.0,China,727474.139,696046.218,1423520.357,148.283
344,Country/Area,906.0,"China, Hong Kong SAR",3388.166,4097.646,7485.813,6811.477
446,Country/Area,906.0,"China, Macao SAR",312.603,358.371,670.974,20967.938
158,Country/Area,906.0,"China, Taiwan Province of China",11767.891,11906.246,23674.138,668.572
408,Country/Area,906.0,Dem. People's Republic of Korea,12830.805,13206.827,26037.632,216.241
392,Country/Area,906.0,Japan,61908.356,64791.067,126699.424,336.23
496,Country/Area,906.0,Mongolia,1615.387,1616.726,3232.113,2.075
410,Country/Area,906.0,Republic of Korea,25882.76,25885.087,51767.846,523.209
4,Country/Area,5501.0,Afghanistan,19119.647,18736.474,37856.121,58.303
50,Country/Area,5501.0,Bangladesh,81162.19,83750.865,164913.055,1266.905
64,Country/Area,5501.0,Bhutan,410.863,353.962,764.824,19.92
356,Country/Area,5501.0,India,717351.064,671679.248,1389030.312,467.185
364,Country/Area,5501.0,Iran (Islamic Republic of),44325.041,42726.607,87051.648,53.447
462,Country/Area,5501.0,Maldives,298.305,189.425,487.731,1625.77
524,Country/Area,5501.0,Nepal,13600.682,14813.382,28414.064,193.055
586,Country/Area,5501.0,Pakistan,117879.702,112921.196,230800.899,299.399
144,Country/Area,5501.0,Sri Lanka,10855.241,11555.31,22410.552,357.397
96,Country/Area,920.0,Brunei Darussalam,235.393,207.287,442.68,76.788
116,Country/Area,920.0,Cambodia,8057.385,8423.919,16481.304,91.039
360,Country/Area,920.0,Indonesia,136916.976,135572.405,272489.381,142.595
418,Country/Area,920.0,Lao People's Democratic Republic,3639.811,3597.824,7237.636,31.359
458,Country/Area,920.0,Malaysia,17586.001,15854.594,33440.596,101.782
104,Country/Area,920.0,Myanmar,26251.303,26389.411,52640.713,80.578
608,Country/Area,920.0,Philippines,55297.777,55506.906,110804.683,369.349
702,Country/Area,920.0,Singapore,2931.783,2737.78,5669.563,8300.97
764,Country/Area,920.0,Thailand,35023.533,36498.738,71522.271,139.995
626,Country/Area,920.0,Timor-Leste,657.969,642.976,1300.945,87.488
704,Country/Area,920.0,Viet Nam,47563.53,49610.245,97173.776,310.054
51,Country/Area,922.0,Armenia,1341.086,1562.886,2903.972,102.023
31,Country/Area,922.0,Azerbaijan,4942.714,5167.761,10110.475,122.317
48,Country/Area,922.0,Bahrain,928.286,557.385,1485.67,1897.408
196,Country/Area,922.0,Cyprus,649.029,637.642,1286.671,139.25
268,Country/Area,922.0,Georgia,1768.266,2028.457,3796.722,54.637
368,Country/Area,922.0,Iraq,20627.994,20564.177,41192.171,94.885
376,Country/Area,922.0,Israel,4300.117,4357.358,8657.474,400.013
400,Country/Area,922.0,Jordan,5522.154,5149.737,10671.891,120.187
414,Country/Area,922.0,Kuwait,2740.012,1702.181,4442.194,249.309
422,Country/Area,922.0,Lebanon,2823.127,2971.467,5794.594,566.431
512,Country/Area,922.0,Oman,2922.482,1668.759,4591.241,14.834
634,Country/Area,922.0,Qatar,2050.573,747.347,2797.921,241.492
682,Country/Area,922.0,Saudi Arabia,18639.721,11833.091,30472.811,14.175
275,Country/Area,922.0,State of Palestine,2462.006,2495.762,4957.768,823.55
760,Country/Area,922.0,Syrian Arab Republic,10175.062,10178.472,20353.534,110.792
792,Country/Area,922.0,Türkiye,42726.628,42631.043,85357.672,110.911
784,Country/Area,922.0,United Arab Emirates,6050.414,3327.434,9377.847,132.038
887,Country/Area,922.0,Yemen,17791.816,17319.592,35111.408,66.503
112,Country/Area,923.0,Belarus,4398.714,5036.706,9435.419,46.501
100,Country/Area,923.0,Bulgaria,3382.539,3592.93,6975.469,64.352
203,Country/Area,923.0,Czechia,5201.455,5353.42,10554.875,136.716
348,Country/Area,923.0,Hungary,4678.031,5092.315,9770.346,107.924
616,Country/Area,923.0,Poland,18548.609,19677.275,38225.885,124.842
498,Country/Area,923.0,Republic of Moldova,1437.365,1675.197,3112.562,94.659
642,Country/Area,923.0,Romania,9444.048,10057.494,19501.542,84.761
643,Country/Area,923.0,Russian Federation,68044.183,78488.883,146533.067,8.948
703,Country/Area,923.0,Slovakia,2661.918,2788.708,5450.626,111.162
804,Country/Area,923.0,Ukraine,20953.13,24004.328,44957.458,77.604
208,Country/Area,924.0,Denmark,2892.966,2921.652,5814.618,137.157
233,Country/Area,924.0,Estonia,627.486,699.336,1326.822,30.526
234,Country/Area,924.0,Faroe Islands,26.797,25.044,51.842,37.431
246,Country/Area,924.0,Finland,2725.858,2795.901,5521.759,18.261
831,Country/Area,924.0,Guernsey,31.07,31.714,62.783,980.992
352,Country/Area,924.0,Iceland,184.931,175.768,360.7,3.598
372,Country/Area,924.0,Ireland,2443.395,2490.096,4933.491,72.162
833,Country/Area,924.0,Isle of Man,41.623,42.334,83.957,146.777
832,Country/Area,924.0,Jersey,50.807,52.049,102.856,886.694
428,Country/Area,924.0,Latvia,883.052,1031.211,1914.263,30.763
440,Country/Area,924.0,Lithuania,1300.161,1494.897,2795.058,44.635
578,Country/Area,924.0,Norway,2695.741,2651.99,5347.73,17.578
752,Country/Area,924.0,Sweden,5169.247,5109.878,10279.125,25.235
826,Country/Area,924.0,United Kingdom,32992.981,34117.977,67110.958,276.471
8,Country/Area,925.0,Albania,1428.169,1456.841,2885.01,105.3
20,Country/Area,925.0,Andorra,38.914,37.559,76.474,162.71
70,Country/Area,925.0,Bosnia and Herzegovina,1590.487,1755.046,3345.533,65.346
191,Country/Area,925.0,Croatia,1920.084,2066.25,3986.334,71.317
292,Country/Area,925.0,Gibraltar,17.69,17.804,35.494,3549.4
300,Country/Area,925.0,Greece,5189.163,5529.413,10718.576,81.934
