country,country_code,region,happiness_score,gdp_per_capita,hdi,population
Finland,,Europe,7.740699768066406,1.8440535068511963,0.942,5617.31
Denmark,,Europe,7.582699775695801,1.9077976942062376,0.952,5977.412
Iceland,,Europe,7.525100231170654,1.8807179927825928,0.959,393.396
Sweden,,Europe,7.344099998474121,1.8781455755233765,0.952,10606.999
Israel,,Asia,7.341100215911865,1.8029335737228391,0.915,9387.021
Netherlands,,Europe,7.319399833679199,1.9006567001342771,0.946,18228.742
Norway,,Europe,7.301700115203857,1.9519555568695068,0.966,5576.66
Luxembourg,,Europe,7.1219000816345215,2.1405189037323,0.927,673.036
Switzerland,CHE,Europe,7.060200214385986,1.970268487930298,0.967,8921.981
Australia,,Australia,7.0569000244140625,1.854258418083191,0.946,26713.205
New Zealand,,Australia,7.029200077056885,1.810348868370056,0.939,5213.944
Costa Rica,,South America,6.955399990081787,1.5606451034545898,0.806,5129.91
Kuwait,,Asia,6.951399803161621,1.8450720310211184,0.847,4934.507
Austria,,Europe,6.904699802398682,1.8852653503417969,0.926,9120.813
Canada,,North America,6.899600028991699,1.8397207260131836,0.935,39742.43
Belgium,,Europe,6.894199848175049,1.8680410385131836,0.942,11738.763
Ireland,,Europe,6.8379998207092285,2.128828525543213,0.95,5255.017
Czechia,,Europe,6.821800231933594,1.783191442489624,0.895,10735.859
Lithuania,,Europe,6.817500114440918,1.7656822204589844,0.879,2859.11
United Kingdom,GBR,Europe,6.749000072479248,1.8222154378890991,0.94,69138.192
Slovenia,,Europe,6.743299961090088,1.785599946975708,0.926,2118.697
United Arab Emirates,,Asia,6.733099937438965,1.9831197261810305,0.937,11027.129
United States,USA,North America,6.724800109863281,1.9388630390167236,0.927,345426.571
Germany,,Europe,6.718500137329102,1.8713324069976809,0.95,84552.242
Mexico,,North America,6.677999973297119,1.5207414627075195,0.781,130861.007
Uruguay,,South America,6.611499786376953,1.5955692529678345,0.83,3386.588
France,,Europe,6.609000205993652,1.818342924118042,0.91,66548.53
Saudi Arabia,,Asia,6.593500137329102,1.842397093772888,0.875,33962.757
Kosovo,,Europe,6.560999870300293,1.3642358779907229,,
Singapore,,Asia,6.522799968719482,2.118098497390747,0.949,5832.387
Taiwan Province of China,,Asia,6.503499984741211,1.8415800333023071,,
Romania,,Europe,6.491199970245361,1.6990300416946411,0.827,19015.088
El Salvador,,South America,6.468699932098389,1.2650809288024902,0.674,6338.193
Estonia,,Europe,6.447700023651123,1.751847267150879,0.899,1360.546
Poland,,Europe,6.441500186920166,1.737703800201416,0.881,38539.201
Spain,,Europe,6.420899868011475,1.7661887407302856,0.911,47910.526
Serbia,,Europe,6.410799980163574,1.5378245115280151,0.805,6736.216
Chile,,South America,6.360300064086914,1.616446018218994,0.86,19764.771
Panama,,South America,6.3582000732421875,1.701716065406799,0.82,4515.577
Malta,,Europe,6.345799922943115,1.826932072639465,0.915,539.607
Italy,,Europe,6.323500156402588,1.8001515865325928,0.906,59342.867
Guatemala,,North America,6.2870001792907715,1.2595252990722656,0.629,18406.359
Nicaragua,,South America,6.283899784088135,1.0972721576690674,0.669,6916.14
Brazil,,South America,6.271999835968018,1.4295258522033691,0.76,211998.573
Slovakia,,Europe,6.2571001052856445,1.705541968345642,0.855,5506.76
Latvia,,Europe,6.234499931335449,1.7002942562103271,0.879,1871.871
Uzbekistan,,Asia,6.195000171661377,1.2116951942443848,0.727,36361.859
Argentina,,South America,6.1880998611450195,1.561747431755066,0.849,45696.159
Kazakhstan,,Asia,6.1875,1.6224950551986694,0.802,20592.571
Cyprus,,Asia,6.0680999755859375,1.7937989234924316,0.907,1358.282
Japan,,Asia,6.059800148010254,1.7857211828231812,0.92,123753.041
South Korea,,Asia,6.0578999519348145,1.8149861097335815,0.929,
Philippines,,Asia,6.047599792480469,1.2319400310516355,0.71,115843.67
Vietnam,,Asia,6.043000221252441,1.330500602722168,0.726,
Portugal,,Europe,6.029600143432617,1.7275601625442505,0.874,10425.292
Hungary,,Europe,6.016900062561035,1.7220711708068848,0.851,9676.135
Paraguay,,South America,5.976500034332275,1.3981411457061768,0.731,6929.153
Thailand,,Asia,5.976099967956543,1.4842075109481812,0.803,71668.011
Malaysia,,Asia,5.975200176239014,1.6458711624145508,0.807,35557.673
China,CHN,Asia,5.972700119018555,1.496848225593567,0.788,1419321.278
Honduras,,South America,5.968400001525879,1.0906941890716553,0.624,10825.703
Bahrain,,Asia,5.959099769592285,,0.888,1607.049
Croatia,,Europe,5.942299842834473,1.7100956439971924,0.878,3875.325
Greece,,Europe,5.933599948883057,1.6839154958724976,0.893,10047.817
Bosnia and Herzegovina,,Europe,5.876999855041504,1.464741349220276,0.779,3164.253
Libya,,Africa,5.866300106048584,1.5256569385528564,0.746,7381.023
Jamaica,,South America,5.841700077056885,1.2801949977874756,0.706,2839.175
Peru,,South America,5.84089994430542,1.3706018924713137,0.762,34217.848
Dominican Republic,,South America,5.822800159454346,1.5166972875595093,0.766,11427.557
Mauritius,,Africa,5.816400051116943,1.5704201459884644,0.796,1271.169
Moldova,,Europe,5.815899848937988,1.3853644132614136,0.763,
Russia,,Europe,5.785299777984619,1.642192244529724,0.821,
Bolivia,,South America,5.784299850463867,1.2170525789260864,0.698,
Ecuador,,South America,5.7245001792907715,1.3154677152633667,0.765,18135.478
Kyrgyzstan,,Asia,5.713500022888184,1.0542736053466797,0.701,7186.009
Montenegro,,Europe,5.706999778747559,1.5705214738845823,0.844,638.479
Mongolia,,Asia,5.696199893951416,1.3527040481567385,0.741,3475.54
Colombia,,South America,5.695099830627441,1.4369055032730105,0.758,52886.363
Venezuela,,South America,5.6066999435424805,0.0,0.699,
Indonesia,,Asia,5.568299770355225,1.361494541168213,0.713,283487.931
Bulgaria,,Europe,5.462699890136719,1.6293822526931765,0.799,6757.689
Armenia,,Asia,5.454899787902832,1.443588376045227,0.786,2973.84
South Africa,,Africa,5.421999931335449,1.389106035232544,0.717,64007.187
North Macedonia,,Europe,5.369100093841553,1.4753087759017944,0.765,1823.009
Algeria,,Africa,5.363500118255615,1.323540449142456,0.745,46814.308
Hong Kong S.A.R. of China,,Asia,5.316400051116943,1.908711075782776,,
Albania,,Europe,5.304200172424316,1.4378888607025146,0.789,2791.765
Tajikistan,,Asia,5.280700206756592,,0.679,10590.927
Congo (Brazzaville),,Africa,5.221499919891357,0.8923410177230835,,
Mozambique,,Africa,5.216400146484375,0.5597674250602722,0.461,34631.766
Georgia,,Asia,5.184700012207031,1.4669232368469238,0.814,3807.67
Iraq,,Asia,5.165999889373779,1.2487026453018188,0.673,46042.015
Nepal,,Asia,5.158400058746338,0.9653639197349548,0.601,29651.054
Laos,,Asia,5.138899803161621,1.208468317985535,0.62,
Gabon,,Africa,5.106299877166748,1.4034374952316284,0.693,2538.952
Ivory Coast,,Africa,5.080100059509277,1.08013117313385,,
Guinea,,South America,5.0233001708984375,0.8305673599243164,0.471,14754.785
Turkey,,Asia,4.975299835205078,1.7015780210494995,0.855,
Senegal,,Africa,4.968599796295166,0.9273591637611388,0.517,18501.984
Iran,,Asia,4.922800064086914,1.4351887702941897,0.78,
Azerbaijan,,Asia,4.893400192260742,1.4329136610031128,0.76,10336.577
Nigeria,,Africa,4.880799770355225,1.0417711734771729,0.548,232679.478
State of Palestine,,Asia,4.879499912261963,,,5495.443
Cameroon,,Africa,4.8744001388549805,0.9432443380355836,0.587,29123.744
Ukraine,,Europe,4.873000144958496,1.3498984575271606,0.734,37860.221
Namibia,,Africa,4.831699848175049,1.266346096992493,0.61,3030.131
Morocco,,Africa,4.7947001457214355,1.2134435176849363,0.698,38081.173
Pakistan,,Asia,4.656700134277344,1.0685423612594604,0.54,251269.164
Niger,,Africa,4.556300163269043,0.5728497505187988,0.394,27032.412
Burkina Faso,,Africa,4.547999858856201,0.755849301815033,0.438,23548.781
Mauritania,,Africa,4.505099773406982,1.077660083770752,0.54,5169.395
Gambia,,Africa,4.484899997711182,0.750298023223877,0.495,2759.988
Chad,,Africa,4.47130012512207,0.6033025979995728,0.394,20299.123
Kenya,,Africa,4.469600200653076,1.036737322807312,0.601,56432.944
Tunisia,,Africa,4.421800136566162,1.3064451217651367,0.732,12277.109
Benin,,Africa,4.377399921417236,0.9135749340057372,0.504,14462.724
Uganda,,Africa,4.371699810028076,0.7719525694847107,0.55,50015.092
Myanmar,,Asia,4.354499816894531,0.9776164293289183,0.608,54500.091
Cambodia,,Asia,4.340700149536133,1.0109834671020508,0.6,17638.801
Ghana,,Africa,4.289400100708008,1.0765100717544556,0.602,34427.414
Liberia,,African,4.268599987030029,0.6187779307365417,0.487,5612.817
Mali,,Africa,4.23199987411499,0.7474067211151123,0.41,24478.595
Madagascar,,Africa,4.22790002822876,0.6279069185256958,0.487,31964.956
Togo,,Africa,4.214099884033203,0.758493959903717,0.547,9515.236
Jordan,,Asia,4.185800075531006,1.2622883319854736,0.736,11552.876
India,,Asia,4.054100036621094,1.166173219680786,0.644,1450935.791
Egypt,,Africa,3.976599931716919,1.3699750900268557,0.728,116538.258
Sri Lanka,,Asia,3.898099899291992,1.3609724044799805,0.78,23103.565
Bangladesh,,Asia,3.885900020599365,1.121606945991516,0.67,173562.364
Ethiopia,,Africa,3.8608999252319336,0.7915603518486023,0.492,132059.767
Tanzania,,Africa,3.780600070953369,0.8201370239257812,0.532,
Comoros,,Africa,3.5662999153137207,0.8955318927764893,0.586,866.628
Yemen,,Asia,3.561000108718872,0.6712790131568909,0.424,40583.164
Zambia,,Africa,3.5023999214172363,0.8989716172218323,0.569,21314.956
Eswatini,,Africa,3.502000093460083,1.2553025484085083,0.61,1242.822
Malawi,,Africa,3.4210000038146973,0.6169111132621765,0.508,21655.286
Botswana,,Africa,3.3833999633789062,1.4446913003921509,0.708,2521.139
Zimbabwe,,Africa,3.341099977493286,0.7483372092247009,0.55,16634.373
Congo (Kinshasa),,Africa,3.295399904251098,0.5336700081825256,,
Sierra Leone,,Africa,3.245199918746948,0.6542783975601196,0.458,8642.022
Lesotho,,Africa,3.186199903488159,0.770806610584259,0.521,2337.423
Lebanon,,Asia,2.7065000534057617,1.3767255544662476,0.723,5805.962
Afghanistan,,Asia,1.7209999561309814,0.6281381845474243,0.462,42647.492
