LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,6799.975,6889.475,13689.45,527.532
174,Country/Area,910.0,Comoros,427.697,422.69,850.387,456.952
262,Country/Area,910.0,Djibouti,571.602,581.341,1152.944,49.739
232,Country/Area,910.0,Eritrea,1712.524,1757.865,3470.39,28.647
231,Country/Area,910.0,Ethiopia,64486.162,64205.53,128691.692,128.692
404,Country/Area,910.0,Kenya,27517.012,27821.99,55339.003,95.292
450,Country/Area,910.0,Madagascar,15646.931,15549.002,31195.932,53.62
454,Country/Area,910.0,Malawi,10295.096,10809.386,21104.482,223.205
480,Country/Area,910.0,Mauritius,636.58,637.009,1273.588,627.383
175,Country/Area,910.0,Mayotte,150.826,165.19,316.015,842.708
508,Country/Area,910.0,Mozambique,16307.299,17327.86,33635.16,42.772
638,Country/Area,910.0,Réunion,415.647,459.236,874.883,349.953
646,Country/Area,910.0,Rwanda,6802.408,7152.064,13954.471,576.393
690,Country/Area,910.0,Seychelles,70.606,57.345,127.951,279.979
706,Country/Area,910.0,Somalia,9197.829,9160.786,18358.615,29.264
728,Country/Area,910.0,South Sudan,5648.789,5834.585,11483.374,20.355
800,Country/Area,910.0,Uganda,24122.612,24533.989,48656.601,243.518
834,Country/Area,910.0,United Republic of Tanzania,33013.815,33603.792,66617.606,75.206
894,Country/Area,910.0,Zambia,10256.248,10467.717,20723.965,27.878
716,Country/Area,910.0,Zimbabwe,7780.934,8559.888,16340.822,42.241
24,Country/Area,911.0,Angola,18181.69,18568.216,36749.906,29.478
120,Country/Area,911.0,Cameroon,14140.585,14232.102,28372.687,60.879
140,Country/Area,911.0,Central African Republic,2467.628,2684.793,5152.421,8.271
148,Country/Area,911.0,Chad,9691.189,9627.875,19319.064,15.342
178,Country/Area,911.0,Congo,3091.229,3091.655,6182.885,18.105
180,Country/Area,911.0,Democratic Republic of the Congo,52483.883,53305.849,105789.731,46.664
226,Country/Area,911.0,Equatorial Guinea,974.877,872.672,1847.549,65.866
266,Country/Area,911.0,Gabon,1262.241,1222.547,2484.789,9.643
678,Country/Area,911.0,Sao Tome and Principe,114.817,116.055,230.871,240.491
12,Country/Area,912.0,Algeria,23549.234,22614.984,46164.219,19.383
818,Country/Area,912.0,Egypt,57830.586,56705.185,114535.772,115.059
434,Country/Area,912.0,Libya,3714.641,3591.018,7305.659,4.358
504,Country/Area,912.0,Morocco,19023.229,18689.276,37712.505,84.5
729,Country/Area,912.0,Sudan,24821.596,25221.195,50042.791,28.352
788,Country/Area,912.0,Tunisia,6033.405,6167.026,12200.431,78.495
732,Country/Area,912.0,Western Sahara,319.693,260.036,579.729,2.179
72,Country/Area,913.0,Botswana,1236.969,1243.275,2480.244,4.376
748,Country/Area,913.0,Eswatini,604.016,626.49,1230.506,70.869
426,Country/Area,913.0,Lesotho,1125.727,1185.745,2311.472,76.135
516,Country/Area,913.0,Namibia,1447.11,1515.986,2963.095,3.599
710,Country/Area,913.0,South Africa,30750.477,32461.907,63212.384,51.779
204,Country/Area,914.0,Benin,7074.605,7036.429,14111.034,125.142
854,Country/Area,914.0,Burkina Faso,11468.763,11557.013,23025.776,84.159
132,Country/Area,914.0,Cabo Verde,265.69,256.64,522.331,129.611
384,Country/Area,914.0,Côte d'Ivoire,15869.633,15296.021,31165.654,98.005
270,Country/Area,914.0,Gambia,1343.26,1354.585,2697.845,266.586
288,Country/Area,914.0,Ghana,16877.545,16910.369,33787.914,148.492
324,Country/Area,914.0,Guinea,7122.533,7282.935,14405.468,58.626
624,Country/Area,914.0,Guinea-Bissau,1063.795,1089.543,2153.339,76.577
430,Country/Area,914.0,Liberia,2741.343,2751.688,5493.031,57.029
466,Country/Area,914.0,Mali,11994.667,11774.46,23769.127,19.48
478,Country/Area,914.0,Mauritania,2461.966,2560.476,5022.441,4.873
562,Country/Area,914.0,Niger,13282.161,12877.706,26159.867,20.652
566,Country/Area,914.0,Nigeria,115206.932,112676.013,227882.945,250.209
654,Country/Area,914.0,Saint Helena,2.648,2.64,5.289,13.56
686,Country/Area,914.0,Senegal,9197.809,8879.764,18077.573,93.895
694,Country/Area,914.0,Sierra Leone,4219.052,4241.46,8460.512,117.933
768,Country/Area,914.0,Togo,4681.655,4622.682,9304.337,171.067
398,Country/Area,5500.0,Kazakhstan,9897.043,10433.06,20330.104,7.531
417,Country/Area,5500.0,Kyrgyzstan,3497.319,3576.197,7073.516,36.88
