LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,6438.864,6526.617,12965.481,499.633
174,Country/Area,910.0,Comoros,411.524,406.65,818.174,439.642
262,Country/Area,910.0,Djibouti,556.13,565.119,1121.248,48.371
232,Country/Area,910.0,Eritrea,1651.92,1698.263,3350.183,27.655
231,Country/Area,910.0,Ethiopia,61227.789,60910.8,122138.588,122.139
404,Country/Area,910.0,Kenya,26473.1,26746.066,53219.166,91.642
450,Country/Area,910.0,Madagascar,14893.095,14797.988,29691.083,51.034
454,Country/Area,910.0,Malawi,9774.487,10272.771,20047.258,212.024
480,Country/Area,910.0,Mauritius,641.607,638.016,1279.623,630.356
175,Country/Area,910.0,Mayotte,140.392,154.03,294.421,785.123
508,Country/Area,910.0,Mozambique,15354.329,16353.47,31707.8,40.321
638,Country/Area,910.0,Réunion,412.553,455.526,868.079,347.232
646,Country/Area,910.0,Rwanda,6500.904,6854.356,13355.26,551.642
690,Country/Area,910.0,Seychelles,67.573,55.415,122.987,269.119
706,Country/Area,910.0,Somalia,8653.664,8617.767,17271.431,27.531
728,Country/Area,910.0,South Sudan,5345.854,5519.926,10865.78,19.26
800,Country/Area,910.0,Uganda,22747.489,23163.441,45910.93,229.776
834,Country/Area,910.0,United Republic of Tanzania,31128.864,31701.548,62830.412,70.93
894,Country/Area,910.0,Zambia,9702.842,9900.766,19603.607,26.371
716,Country/Area,910.0,Zimbabwe,7505.482,8291.728,15797.21,40.835
24,Country/Area,911.0,Angola,17077.372,17455.057,34532.429,27.699
120,Country/Area,911.0,Cameroon,13415.332,13500.427,26915.758,57.753
140,Country/Area,911.0,Central African Republic,2483.247,2628.854,5112.1,8.206
148,Country/Area,911.0,Chad,8944.699,8883.575,17828.273,14.158
178,Country/Area,911.0,Congo,2946.068,2946.115,5892.183,17.254
180,Country/Area,911.0,Democratic Republic of the Congo,49185.125,49963.807,99148.932,43.735
226,Country/Area,911.0,Equatorial Guinea,929.916,828.87,1758.786,62.702
266,Country/Area,911.0,Gabon,1209.288,1167.434,2376.722,9.224
678,Country/Area,911.0,Sao Tome and Principe,110.497,111.464,221.961,231.209
