country,country_code,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,happiness_rank
Switzerland,CHE,Europe,7.5870000000000015,1.39651,,0.94143,0.66557,0.29678,,1
Iceland,,Europe,7.561,1.30232,,0.94784,0.6287699999999999,0.4363,,2
Denmark,,Europe,7.527,1.32548,,0.87464,0.6493800000000001,0.34139,,3
Norway,,Europe,7.522,1.459,,0.88521,0.66973,0.34699,,4
Canada,,North America,7.427,1.32629,,0.90563,0.63297,0.45811,,5
Finland,,Europe,7.4060000000000015,1.29025,,0.8891100000000001,0.64169,0.23351,,6
Netherlands,,Europe,7.377999999999999,1.32944,,0.89284,0.6157600000000001,0.4761,,7
Sweden,,Europe,7.364,1.33171,,0.91087,0.6598,0.36262,,8
New Zealand,,Australia,7.286,1.2501799999999998,,0.90837,0.6393800000000001,0.47501,,9
Australia,,Australia,7.284,1.33358,,0.93156,0.6512399999999999,0.43562,,10
Israel,,Asia,7.278,1.2285700000000002,,0.91387,0.4131899999999999,0.3317199999999999,,11
Costa Rica,,South America,7.226,0.95578,,0.8602700000000001,0.63376,0.25497,,12
Austria,,Europe,7.2,1.33723,,0.8904200000000001,0.62433,0.33088,,13
Mexico,,North America,7.187,1.02054,,0.8144399999999999,0.48181,0.14074,,14
United States,USA,North America,7.119,1.39451,,0.86179,0.54604,0.40105,,15
Brazil,,South America,6.983,0.98124,,0.69702,0.49049,0.14574,,16
Luxembourg,,Europe,6.9460000000000015,1.56391,,0.91894,0.61583,0.28034,,17
Ireland,,Europe,6.94,1.33596,,0.89533,0.6177699999999999,0.45901,,18
Belgium,,Europe,6.937,1.30782,,0.8966700000000001,0.5845,0.2225,,19
United Arab Emirates,,Asia,6.901,1.42727,,0.80925,0.64157,0.26428,,20
United Kingdom,GBR,Europe,6.867000000000001,1.26637,,0.90943,0.59625,0.51912,,21
Venezuela,,South America,6.81,1.04424,,0.7205199999999999,0.42908,0.05841,,22
Singapore,,Asia,6.797999999999999,1.52186,,1.02525,0.54252,0.31105,,23
Panama,,South America,6.7860000000000005,1.06353,,0.79661,0.5421,0.24434,,24
Germany,,Europe,6.75,1.32792,,0.89186,0.6147699999999999,0.28214,,25
Chile,,South America,6.67,1.10715,,0.85857,0.44132,0.33363,,26
France,,Europe,6.575,1.27778,,0.94579,0.55011,0.12332,,27
Argentina,,South America,6.574,1.05351,,0.78723,0.44974,0.1145099999999999,,28
Czech Republic,,Europe,6.505,1.17898,,0.84483,0.4636399999999999,0.10686,,29
Uruguay,,South America,6.485,1.06166,,0.8116,0.6036199999999999,0.2324,,30
Colombia,,South America,6.477,0.91861,,0.69077,0.53466,0.1840099999999999,,31
Thailand,,Asia,6.455,0.9669,,0.7385,0.5566399999999999,0.5763,,32
Saudi Arabia,,Asia,6.4110000000000005,1.39541,,0.72025,0.31048,0.13706,,33
Spain,,Europe,6.329,1.23011,,0.95562,0.45951,0.18227,,34
Malta,,Europe,6.3020000000000005,1.2074,,0.88721,0.60365,0.51752,,35
Kuwait,,Asia,6.295,1.5542200000000002,,0.72492,0.55499,0.16228,,36
El Salvador,,South America,6.13,0.76454,,0.67737,0.4035,0.10692,,37
Guatemala,,South America,6.1229999999999976,0.74553,,0.64425,0.57733,0.27489,,38
Uzbekistan,,Asia,6.002999999999999,0.63244,,0.59772,0.6582100000000001,0.22837,,39
Slovakia,,Europe,5.995,1.16891,,0.7890199999999999,0.31751,0.16893,,40
Japan,,Asia,5.987,1.27074,,0.99111,0.49615,0.10705,,41
South Korea,,Asia,5.984,1.24461,,0.96538,0.33208,0.18557,,42
Ecuador,,South America,5.975,0.8640200000000001,,0.79075,0.4857399999999999,0.1154099999999999,,43
Bahrain,,Asia,5.96,1.32376,,0.74716,0.45492,0.17362,,44
Italy,,Europe,5.9479999999999995,1.25114,,0.95446,0.26236,0.22823,,45
Bolivia,,South America,5.89,0.68133,,0.5392,0.57414,0.20536,,46
Moldova,,Europe,5.888999999999999,0.59448,,0.61826,0.32818,0.20951,,47
Paraguay,,South America,5.877999999999999,0.75985,,0.66098,0.53899,0.3424,,48
Kazakhstan,,Asia,5.855,1.12254,,0.64368,0.51649,0.11827,,49
Slovenia,,Europe,5.848,1.18498,,0.8733700000000001,0.60855,0.25328,,50
Lithuania,,Europe,5.8329999999999975,1.14723,,0.73128,0.2134199999999999,0.02641,,51
Nicaragua,,South America,5.827999999999999,0.59325,,0.7431399999999999,0.55475,0.27815,,52
Peru,,South America,5.824,0.9001899999999999,,0.73017,0.4149600000000001,0.14982,,53
Belarus,,Europe,5.813,1.0319200000000002,,0.7360800000000001,0.37938,0.1104599999999999,,54
Poland,,Europe,5.791,1.12555,,0.77903,0.53122,0.16759,,55
Malaysia,,Asia,5.77,1.12486,,0.7239399999999999,0.5302399999999999,0.33075,,56
Croatia,,Europe,5.7589999999999995,1.08254,,0.78805,0.25883,0.0544399999999999,,57
Libya,,Africa,5.754,1.13145,,0.7038,0.41668,0.18295,,58
Russia,,Europe,5.716,1.13764,,0.6692600000000001,0.36679,0.00199,,59
Jamaica,,South America,5.709,0.81038,,0.6874100000000001,0.50442,0.2123,,60
Cyprus,,Asia,5.689,1.20813,,0.92356,0.4067199999999999,0.30638,,61
Algeria,,Africa,5.605,0.93929,,0.61766,0.28579,0.07822,,62
Kosovo,,Europe,5.5889999999999995,0.80148,,0.63132,0.24749,0.2831,,63
Turkmenistan,,Asia,5.547999999999999,0.95847,,0.53886,0.4761,0.16979,,64
Mauritius,,Africa,5.477,1.00761,,0.7095,0.56066,0.37744,,65
Estonia,,Europe,5.428999999999999,1.15174,,0.77361,0.44888,0.0868,,66
Indonesia,,Asia,5.399,0.8282700000000001,,0.63793,0.46611,0.51535,,67
