country,country_code,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,happiness_rank
Finland,,Europe,7.769,1.34,1.587,0.986,0.596,0.153,,1
Denmark,,Europe,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,,2
Norway,,Europe,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.271,,3
Iceland,,Europe,7.494,1.38,1.624,1.026,0.591,0.354,,4
Netherlands,,Europe,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,0.322,,5
Switzerland,CHE,Europe,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,,6
Sweden,,Europe,7.343,1.3869999999999998,1.487,1.009,0.574,0.267,,7
New Zealand,,Australia,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,,8
Canada,,North America,7.278,1.365,1.505,1.039,0.584,0.285,,9
Austria,,Europe,7.246,1.376,1.475,1.016,0.532,0.244,,10
Australia,,Australia,7.228,1.372,1.548,1.036,0.557,0.332,,11
Costa Rica,,South America,7.1670000000000025,1.034,1.4409999999999998,0.963,0.5579999999999999,0.144,,12
Israel,,Asia,7.138999999999999,1.276,1.455,1.029,0.371,0.261,,13
Luxembourg,,Europe,7.09,1.609,1.479,1.012,0.526,0.1939999999999999,,14
United Kingdom,GBR,Europe,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,,15
Ireland,,Europe,7.021,1.499,1.5530000000000002,0.999,0.516,0.298,,16
Germany,,Europe,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,,17
Belgium,,Europe,6.922999999999999,1.356,1.504,0.986,0.473,0.16,,18
United States,USA,North America,6.892,1.433,1.457,0.8740000000000001,0.4539999999999999,0.28,,19
Czech Republic,,Europe,6.852,1.269,1.487,0.92,0.457,0.046,,20
United Arab Emirates,,Asia,6.825,1.503,1.31,0.825,0.598,0.262,,21
Malta,,Europe,6.726,1.3,1.52,0.999,0.564,0.375,,22
Mexico,,North America,6.595,1.07,1.3230000000000002,0.861,0.433,0.074,,23
France,,Europe,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,,24
Chile,,South America,6.444,1.159,1.369,0.92,0.357,0.187,,25
Guatemala,,South America,6.436,0.8,1.269,0.746,0.535,0.175,,26
Saudi Arabia,,Asia,6.375,1.403,1.357,0.795,0.439,0.08,,27
Spain,,Europe,6.354,1.286,1.484,1.062,0.362,0.153,,28
Panama,,South America,6.3210000000000015,1.149,1.442,0.91,0.516,0.109,,29
Brazil,,South America,6.3,1.004,1.439,0.802,0.39,0.099,,30
Uruguay,,South America,6.2929999999999975,1.124,1.465,0.8909999999999999,0.523,0.127,,31
Singapore,,Asia,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,,32
El Salvador,,South America,6.252999999999999,0.794,1.242,0.789,0.43,0.093,,33
Italy,,Europe,6.223,1.294,1.4880000000000002,1.039,0.231,0.158,,34
Bahrain,,Asia,6.199,1.362,1.368,0.871,0.536,0.255,,35
Slovakia,,Europe,6.1979999999999995,1.246,1.504,0.8809999999999999,0.3339999999999999,0.121,,36
Poland,,Europe,6.182,1.206,1.4380000000000002,0.884,0.483,0.1169999999999999,,37
Uzbekistan,,Asia,6.1739999999999995,0.745,1.529,0.7559999999999999,0.631,0.322,,38
Lithuania,,Europe,6.149,1.238,1.515,0.818,0.291,0.043,,39
Colombia,,South America,6.125,0.985,1.41,0.841,0.47,0.099,,40
Slovenia,,Europe,6.117999999999999,1.258,1.523,0.953,0.564,0.144,,41
Nicaragua,,South America,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,,42
Kosovo,,Europe,6.1,0.882,1.232,0.758,0.489,0.262,,43
Argentina,,South America,6.086,1.092,1.432,0.8809999999999999,0.471,0.066,,44
Romania,,Europe,6.07,1.162,1.232,0.825,0.462,0.083,,45
Cyprus,,Asia,6.046,1.263,1.223,1.042,0.406,0.19,,46
Ecuador,,South America,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,,47
Kuwait,,Asia,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,,48
Thailand,,Asia,6.007999999999999,1.05,1.409,0.828,0.557,0.359,,49
Latvia,,Europe,5.94,1.187,1.465,0.812,0.264,0.075,,50
South Korea,,Asia,5.895,1.301,1.219,1.036,0.159,0.175,,51
Estonia,,Europe,5.893,1.237,1.528,0.8740000000000001,0.495,0.103,,52
Jamaica,,South America,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,,53
Mauritius,,Africa,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,,54
Japan,,Asia,5.886,1.327,1.419,1.088,0.445,0.069,,55
Honduras,,South America,5.86,0.642,1.236,0.828,0.507,0.246,,56
Kazakhstan,,Asia,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,,57
Bolivia,,South America,5.779,0.7759999999999999,1.209,0.706,0.511,0.1369999999999999,,58
Hungary,,Europe,5.757999999999999,1.2009999999999998,1.41,0.828,0.1989999999999999,0.081,,59
Paraguay,,South America,5.742999999999999,0.855,1.475,0.777,0.514,0.184,,60
Peru,,South America,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,,61
Portugal,,Europe,5.693,1.221,1.431,0.999,0.508,0.047,,62
Pakistan,,Asia,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,,63
Russia,,Europe,5.648,1.183,1.452,0.726,0.3339999999999999,0.0819999999999999,,64
Philippines,,Asia,5.631,0.807,1.293,0.657,0.5579999999999999,0.1169999999999999,,65
Serbia,,Europe,5.603,1.004,1.383,0.8540000000000001,0.282,0.1369999999999999,,66
Moldova,,Europe,5.529,0.685,1.328,0.7390000000000001,0.245,0.181,,67
Libya,,Africa,5.525,1.044,1.3030000000000002,0.6729999999999999,0.416,0.133,,68
Montenegro,,Europe,5.523,1.051,1.361,0.871,0.1969999999999999,0.142,,69
Tajikistan,,Asia,5.4670000000000005,0.493,1.098,0.718,0.389,0.23,,70
Croatia,,Europe,5.432,1.155,1.266,0.914,0.296,0.119,,71
Dominican Republic,,South America,5.425,1.015,1.401,0.779,0.4970000000000001,0.113,,72
Bosnia and Herzegovina,,Europe,5.386,0.945,1.212,0.845,0.212,0.263,,73
Turkey,,Asia,5.3729999999999976,1.183,1.36,0.8079999999999999,0.195,0.083,,74
Malaysia,,Asia,5.3389999999999995,1.221,1.171,0.828,0.508,0.26,,75
Belarus,,Europe,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,,76
Greece,,Europe,5.287000000000001,1.181,1.156,0.999,0.067,0.0,,77
Mongolia,,Asia,5.285,0.948,1.531,0.667,0.317,0.235,,78
Nigeria,,Africa,5.265,0.696,1.111,0.245,0.426,0.215,,79
Kyrgyzstan,,Asia,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,,80
Turkmenistan,,Asia,5.247000000000001,1.052,1.538,0.657,0.3939999999999999,0.244,,81
Algeria,,Africa,5.211,1.002,1.16,0.785,0.086,0.073,,82
Morocco,,Africa,5.207999999999998,0.8009999999999999,0.782,0.782,0.418,0.036,,83
Azerbaijan,,Asia,5.207999999999998,1.043,1.147,0.769,0.351,0.035,,84
Lebanon,,Asia,5.197,0.987,1.224,0.815,0.216,0.166,,85
Indonesia,,Asia,5.192,0.931,1.203,0.66,0.491,0.498,,86
China,CHN,Asia,5.191,1.029,1.125,0.893,0.521,0.0579999999999999,,87
Vietnam,,Asia,5.175,0.741,1.346,0.851,0.5429999999999999,0.147,,88
Cameroon,,Africa,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,,89
Bulgaria,,Europe,5.011,1.092,1.513,0.815,0.311,0.081,,90
Ghana,,Africa,4.996,0.611,0.868,0.486,0.381,0.245,,91
Ivory Coast,,Africa,4.944,0.569,0.8079999999999999,0.2319999999999999,0.352,0.154,,92
Nepal,,Asia,4.913,0.446,1.226,0.677,0.439,0.285,,93
Jordan,,Asia,4.9060000000000015,0.8370000000000001,1.225,0.815,0.3829999999999999,0.11,,94
Benin,,Africa,4.883,0.3929999999999999,0.4370000000000001,0.397,0.349,0.175,,95
Congo (Brazzaville),,Africa,4.812,0.6729999999999999,0.799,0.508,0.3720000000000001,0.105,,96
Gabon,,Africa,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,,97
South Africa,,Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,,98
Albania,,Europe,4.718999999999999,0.947,0.848,0.8740000000000001,0.3829999999999999,0.178,,99
Venezuela,,South America,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,,100
Cambodia,,Asia,4.7,0.574,1.122,0.637,0.609,0.2319999999999999,,101
Palestinian Territories,,Asia,4.6960000000000015,0.657,1.247,0.672,0.225,0.103,,102
Senegal,,Africa,4.681,0.45,1.134,0.5710000000000001,0.292,0.153,,103
Niger,,Africa,4.628,0.138,0.774,0.366,0.318,0.188,,104
Burkina Faso,,Africa,4.587,0.331,1.056,0.38,0.255,0.177,,105
Armenia,,Asia,4.559,0.85,1.055,0.815,0.283,0.095,,106
Iran,,Asia,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,,107
Guinea,,South America,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,,108
Georgia,,Asia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.346,0.043,,109
Kenya,,Africa,4.5089999999999995,0.512,0.983,0.581,0.431,0.3720000000000001,,110
Mauritania,,Africa,4.49,0.57,1.167,0.489,0.066,0.106,,111
Tunisia,,Africa,4.461,0.921,1.0,0.815,0.1669999999999999,0.059,,112
