country,country_code,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,happiness_rank
Finland,,Europe,7.804200172424316,1.8883804082870483,1.584899663925171,0.5345736742019653,0.7715099453926086,0.1263311952352523,0.5352985858917236,1
Denmark,,Europe,7.586400032043457,1.949405550956726,1.5478748083114624,0.5373024940490723,0.7344158887863159,0.2084585130214691,0.5252211689949036,2
Iceland,,Europe,7.529600143432617,1.925507664680481,1.6196664571762085,0.5590963959693909,0.7381637096405029,0.2496354877948761,0.1871187835931778,3
Israel,,Asia,7.472899913787842,1.8333979845046997,1.5206738710403442,0.5767300128936768,0.5685182809829712,0.1240477114915847,0.1582920551300048,4
Netherlands,,Europe,7.402999877929688,1.9422738552093504,1.4882279634475708,0.545473039150238,0.6723272204399109,0.2505474090576172,0.3940616548061371,5
Sweden,,Europe,7.395199775695801,1.920950174331665,1.510329008102417,0.5618247389793396,0.753629207611084,0.2248480916023254,0.5204691290855408,6
Norway,,Europe,7.315499782562256,1.9944396018981936,1.5210087299346924,0.5441108345985413,0.7518265247344971,0.2118891179561615,0.4629554748535156,7
Switzerland,CHE,Europe,7.240099906921387,2.021803140640259,1.4628159999847412,0.5822543501853943,0.6779153347015381,0.1507497727870941,0.4747002124786377,8
Luxembourg,,Europe,7.22790002822876,2.199664354324341,1.3568785190582275,0.5488784313201904,0.7096718549728394,0.1492813527584076,0.4183795750141144,9
New Zealand,,Australia,7.122900009155273,1.841704249382019,1.5435456037521362,0.5127779245376587,0.6719269156455994,0.2302348315715789,0.4712207019329071,10
Austria,,Europe,7.097300052642822,1.9267181158065796,1.381974697113037,0.5345751643180847,0.6295605897903442,0.1909468322992324,0.3096530735492706,11
Australia,,Australia,7.094600200653076,1.8987950086593628,1.4967434406280518,0.5318475961685181,0.6767511963844299,0.2424320876598358,0.3102680742740631,12
Canada,,North America,6.960700035095215,1.8814388513565063,1.48391854763031,0.541386604309082,0.6558169722557068,0.2182796448469162,0.3644925951957702,13
Ireland,,Europe,6.910799980163574,2.1521122455596924,1.4247467517852783,0.5386596918106079,0.6557011008262634,0.1856109052896499,0.4090867936611175,14
United States,USA,North America,6.893700122833252,1.980279803276062,1.459589958190918,0.3901733458042145,0.5573698282241821,0.2096725553274154,0.1722584664821624,15
Germany,,Europe,6.8917999267578125,1.9194389581680296,1.4009678363800049,0.5386563539505005,0.6177360415458679,0.1525479108095169,0.3649562299251556,16
Belgium,,Europe,6.859099864959717,1.9068782329559328,1.448750376701355,0.5277373194694519,0.5902925133705139,0.137192815542221,0.2725510895252228,17
Czechia,,Europe,6.845200061798096,1.823468804359436,1.5439990758895874,0.4773488640785217,0.6931394934654236,0.1577660143375396,0.0502391494810581,18
United Kingdom,GBR,Europe,6.795599937438965,1.8569034337997437,1.3662347793579102,0.5114142894744873,0.6261729598045349,0.2723426818847656,0.3402338325977325,19
Lithuania,,Europe,6.763000011444092,1.807981848716736,1.5105764865875244,0.4323169887065887,0.4873256087303161,0.0585177168250083,0.0888190567493438,20
France,,Europe,6.661300182342529,1.8556448221206665,1.4334245920181274,0.5659090876579285,0.5816452503204346,0.0826210081577301,0.2696537375450134,21
Slovenia,,Europe,6.649899959564209,1.815317153930664,1.5388127565383911,0.5318995714187622,0.7074655294418335,0.1441578716039657,0.1130580455064773,22
Costa Rica,,South America,6.608500003814697,1.5869576930999756,1.3395427465438845,0.503240168094635,0.6831671595573425,0.0989776253700256,0.1155191212892532,23
Romania,,Europe,6.589099884033203,1.7259292602539062,1.2797365188598633,0.4228858947753906,0.6309942007064819,0.044280145317316,0.0,24
Singapore,,Asia,6.586699962615967,2.1679413318634033,1.3544509410858154,0.6067776083946228,0.6600772142410278,0.1700936704874038,0.5608206987380981,25
United Arab Emirates,,Asia,6.571199893951416,2.0150415897369385,1.2230294942855835,0.4008787274360657,0.745395302772522,0.1877742558717727,0.2473245859146118,26
Taiwan Province of China,,Asia,6.535399913787842,1.890334725379944,1.371842384338379,0.4923414885997772,0.5619380474090576,0.067239299416542,0.1777113676071167,27
Uruguay,,South America,6.493899822235107,1.617422103881836,1.4445520639419556,0.4351235330104828,0.6834053993225098,0.1017609983682632,0.2539240717887878,28
Slovakia,,Europe,6.468599796295166,1.7310861349105835,1.5439553260803225,0.4715751409530639,0.4944794178009033,0.1276090145111084,0.0223858673125505,29
Saudi Arabia,,Asia,6.462600231170654,1.8609226942062376,1.3704391717910769,0.3506397604942322,0.6815623044967651,0.0931576117873191,0.1703143268823623,30
Estonia,,Europe,6.4552001953125,1.7984774112701416,1.5264379978179932,0.4937084913253784,0.7281054854393005,0.153474286198616,0.3721884787082672,31
Spain,,Europe,6.436200141906738,1.7981053590774536,1.4913617372512815,0.5672692060470581,0.5329196453094482,0.1010577678680419,0.1565551459789276,32
Italy,,Europe,6.4045000076293945,1.8317288160324097,1.364630103111267,0.5590959787368774,0.437638372182846,0.0969720631837844,0.0625555664300918,33
Kosovo,,Europe,6.367599964141846,1.3744702339172363,1.2692053318023682,0.3723197281360626,0.6385247111320496,0.2752449214458465,0.0451008528470993,34
Chile,,South America,6.333799839019775,1.645203709602356,1.3837307691574097,0.5114095211029053,0.5464231371879578,0.1305136084556579,0.0761675387620925,35
Mexico,,North America,6.329500198364258,1.550388216972351,1.168708324432373,0.3888042569160461,0.6315385103225708,0.0862316414713859,0.1151318550109863,36
Malta,,Europe,6.299900054931641,1.84134578704834,1.4684698581695557,0.5468358397483826,0.6706803441047668,0.2004493474960327,0.1434133499860763,37
Panama,,South America,6.264500141143799,1.713736891746521,1.4018425941467283,0.4746385812759399,0.6300383806228638,0.0648609921336174,0.0363806672394275,38
Poland,,Europe,6.259699821472168,1.7667744159698486,1.4744794368743896,0.4773264229297638,0.5107993483543396,0.1198244765400886,0.138614073395729,39
Nicaragua,,South America,6.258800029754639,1.1085658073425293,1.291988730430603,0.3847053647041321,0.6597586274147034,0.1476614624261856,0.2178028523921966,40
Latvia,,Europe,6.212699890136719,1.73714280128479,1.5049731731414795,0.4051622152328491,0.580150842666626,0.1066086217761039,0.0707940086722374,41
Bahrain,,Asia,6.1732001304626465,1.8825600147247312,1.2693383693695068,0.3894852697849273,0.7483083009719849,0.1992207467555999,0.1378032565116882,42
Guatemala,,North America,6.150300025939941,1.287179708480835,1.188223958015442,0.3097888827323913,0.6311976909637451,0.1057083457708358,0.0662645101547241,43
Kazakhstan,,Asia,6.143899917602539,1.6638872623443604,1.4906219244003296,0.3888514637947082,0.6275635957717896,0.1361722648143768,0.1487179398536682,44
Serbia,,Europe,6.143599987030029,1.551958441734314,1.3431038856506348,0.4238874316215515,0.6166508793830872,0.2458843737840652,0.0806943476200103,45
Cyprus,,Asia,6.130000114440918,1.823535442352295,1.2244642972946167,0.5795837640762329,0.4554170072078705,0.1042241603136062,0.0496397875249385,46
Japan,,Asia,6.129000186920166,1.825132131576538,1.3963241577148438,0.6217486262321472,0.5560483932495117,0.009303618222475,0.2071253806352615,47
Croatia,,Europe,6.125,1.72653329372406,1.454584717750549,0.4746306836605072,0.4996632039546966,0.086722083389759,0.0027265360113233,48
Brazil,,South America,6.124599933624268,1.4544808864593506,1.250219464302063,0.3874067068099975,0.5584881901741028,0.1314038187265396,0.1370965987443924,49
El Salvador,,South America,6.121600151062012,1.2776421308517456,1.0442631244659424,0.3832708299160003,0.7131232619285583,0.07853514701128,0.2216674536466598,50
Hungary,,Europe,6.041200160980225,1.7544872760772705,1.5188888311386108,0.4351357817649841,0.5005857944488525,0.104682870209217,0.064628392457962,51
Argentina,,South America,6.02370023727417,1.5895475149154663,1.3881741762161257,0.4269517362117767,0.5868987441062927,0.0884210467338562,0.0824252068996429,52
Honduras,,South America,6.022500038146973,1.114858865737915,1.0716112852096558,0.3414770364761352,0.6134178042411804,0.1886652708053589,0.0617339015007019,53
Uzbekistan,,Asia,6.0142998695373535,1.2271769046783447,1.3474141359329224,0.3751948475837707,0.7402471899986267,0.2595858573913574,0.2083743214607238,54
Malaysia,,Asia,6.01230001449585,1.6649701595306396,1.155066728591919,0.3850533664226532,0.6588239669799805,0.2220573723316192,0.1222098991274833,55
Portugal,,Europe,5.9679999351501465,1.7580631971359253,1.3555439710617063,0.5373093485832214,0.693030834197998,0.0312276612967252,0.0365390144288539,56
South Korea,,Asia,5.951099872589111,1.85275399684906,1.1879149675369265,0.6026955842971802,0.4460399150848388,0.1116351261734962,0.1632450670003891,57
Greece,,Europe,5.9309000968933105,1.707674264907837,1.246871829032898,0.5345674753189087,0.2478878051042556,0.0078917583450675,0.0973174944519996,58
Mauritius,,Africa,5.902299880981445,1.5889784097671509,1.3817156553268433,0.3356765806674957,0.5739434361457825,0.12128746509552,0.1104367524385452,59
Thailand,,Asia,5.8429999351501465,1.5151944160461426,1.344265341758728,0.4609982073307037,0.6237058639526367,0.2913073003292084,0.0133933015167713,60
Mongolia,,Asia,5.840199947357178,1.379249095916748,1.494107365608215,0.2443949729204177,0.4251952171325683,0.2386225461959839,0.057564903050661,61
Kyrgyzstan,,Asia,5.825300216674805,1.0612764358520508,1.4393519163131714,0.4174804985523224,0.7354274392127991,0.2337346673011779,0.0181207656860351,62
Moldova,,Europe,5.819200038909912,1.424565315246582,1.301645278930664,0.375155359506607,0.609571099281311,0.0934622064232826,0.0202222354710102,63
China,CHN,Asia,5.81790018081665,1.5103861093521118,1.2487590312957764,0.4675142765045166,0.6656950116157532,0.1145495027303695,0.1445867121219635,64
Vietnam,,Asia,5.763299942016602,1.3485907316207886,1.2119914293289185,0.3806960880756378,0.7412129044532776,0.134476751089096,0.1219411492347717,65
Paraguay,,South America,5.737800121307373,1.4284915924072266,1.4265047311782837,0.3915253579616546,0.6776077151298523,0.1475609242916107,0.0619564168155193,66
Montenegro,,Europe,5.7221999168396,1.5371142625808716,1.3849304914474487,0.4242248237133026,0.5633713006973267,0.1704930365085601,0.0606328509747982,67
