country,happiness_score,gdp_per_capita,social_support,health,freedom,generosity,corruption,dystopia_residual,continent
Finland,7.842100143432617,1.4463562965393066,1.1061915159225464,0.7408238053321838,0.6905766129493713,0.1242004558444023,0.4805239737033844,3.2534146308898926,Europe
Denmark,7.619500160217285,1.5015480518341064,1.1080076694488523,0.7628624439239502,0.6861603260040283,0.2076145708560943,0.4849926829338074,2.8682961463928223,Europe
Switzerland,7.571499824523926,1.56589937210083,1.0794686079025269,0.8164148330688477,0.6534879207611084,0.2040399610996246,0.413019061088562,2.839147567749023,Europe
Iceland,7.553899765014648,1.4821898937225342,1.1722792387008667,0.7723187208175659,0.6977011561393738,0.2925264239311218,0.1699399501085281,2.966944694519043,Europe
Netherlands,7.464000225067139,1.501071572303772,1.0791510343551636,0.7534254193305969,0.6465853452682495,0.3023965656757355,0.3835311233997345,2.7978177070617676,Europe
Norway,7.392499923706055,1.5434552431106567,1.1080878973007202,0.7817675471305847,0.7031350135803223,0.2489185482263565,0.4268389642238617,2.580300807952881,Europe
Sweden,7.36269998550415,1.478426218032837,1.0615882873535156,0.7628718614578247,0.6849016547203064,0.2442199736833572,0.4476082623004913,2.6830930709838867,Europe
Luxembourg,7.324399948120117,1.7507855892181396,1.0029783248901367,0.7597206830978394,0.6393625140190125,0.1660767793655395,0.3526135385036468,2.65286636352539,Europe
New Zealand,7.276599884033203,1.400068283081055,1.093900442123413,0.7849212884902954,0.6654025912284851,0.2755538821220398,0.4449418485164642,2.6118011474609375,Australia
Austria,7.2677998542785645,1.4921637773513794,1.062422513961792,0.7817584276199341,0.6399840712547302,0.2150899767875671,0.2920558750629425,2.7842845916748047,Europe
Australia,7.183499813079834,1.4534845352172852,1.0758804082870483,0.8006671071052551,0.6472353935241699,0.2913886308670044,0.3169821202754974,2.5978565216064453,Australia
Israel,7.157100200653076,1.3763267993927002,1.07381272315979,0.7881687879562378,0.5089752078056335,0.2079883515834808,0.1187649592757225,3.0830140113830566,Asia
Germany,7.1545000076293945,1.4803659915924072,0.992562174797058,0.7565743923187256,0.6004118323326111,0.1949144452810287,0.3055965602397918,2.8240256309509277,Europe
Canada,7.103300094604492,1.4466791152954102,1.044359564781189,0.7975085377693176,0.6484853029251099,0.2462241202592849,0.3345868289470672,2.5854320526123047,North America
Ireland,7.085299968719482,1.6444793939590454,1.091831088066101,0.7534213662147522,0.6055065393447876,0.2383265197277069,0.3674488365650177,2.3843045234680176,Europe
Costa Rica,7.069399833679199,1.1335699558258057,0.9658473134040833,0.7219244837760925,0.6725239157676697,0.1054726913571357,0.0832806006073951,3.3867838382720947,South America
United Kingdom,7.063600063323975,1.4225784540176392,1.06199049949646,0.7565741539001465,0.580345630645752,0.3402424156665802,0.3060355484485626,2.595834732055664,Europe
Czech Republic,6.964700222015381,1.3698246479034424,1.090193271636963,0.7032392621040344,0.5800207853317261,0.0520636141300201,0.0456371530890464,3.123739242553711,Europe
United States,6.951499938964844,1.5329774618148804,1.0301469564437866,0.6211386322975159,0.5539203882217407,0.252187579870224,0.1538696587085724,2.8072967529296875,North America
