country,happiness_score,gdp_per_capita,social_support,health,freedom,generosity,corruption,dystopia_residual,continent
Finland,7.821000099182129,1.8916280269622805,1.258108377456665,0.775206446647644,0.7355902194976807,0.1087330505251884,0.5336580872535706,2.5180516242980957,Europe
Denmark,7.636199951171875,1.9525948762893677,1.2426812648773191,0.7766435146331787,0.7189184427261353,0.1876257061958313,0.5320789217948914,2.2256317138671875,Europe
Iceland,7.557499885559082,1.9357264041900637,1.3199135065078735,0.802621603012085,0.7181944847106934,0.2696161270141601,0.191204234957695,2.3201847076416016,Europe
Switzerland,7.511600017547607,2.0259697437286377,1.2260738611221311,0.8220476508140564,0.6769469380378723,0.1468217074871063,0.4610044062137604,2.152746200561523,Europe
Netherlands,7.414899826049805,1.944577932357788,1.205848217010498,0.7867376208305359,0.650681734085083,0.2710764706134796,0.4190830886363983,2.136936664581299,Europe
Luxembourg*,7.40399980545044,2.209395408630371,1.1545246839523315,0.7903646230697632,0.6997277736663818,0.1202028840780258,0.3881199657917022,2.041680335998535,Europe
Sweden,7.384300231933594,1.9202585220336912,1.20404314994812,0.8026081919670105,0.7237046957015991,0.2179296463727951,0.5122383832931519,2.003476142883301,Europe
Norway,7.365099906921387,1.9971911907196045,1.239048719406128,0.7860307097434998,0.7276478409767151,0.2166402488946914,0.4739991426467895,1.9245843887329104,Europe
Israel,7.363800048828125,1.8259295225143433,1.2209957838058472,0.8176369667053223,0.5676404237747192,0.1548376381397247,0.1426141560077667,2.6341071128845215,Asia
New Zealand,7.19980001449585,1.8520405292510984,1.2346335649490356,0.7521170377731323,0.6797534227371216,0.2446611374616623,0.4830028116703033,1.9535832405090332,Australia
Austria,7.163000106811523,1.9313225746154783,1.1652566194534302,0.7737501859664917,0.6227887272834778,0.1932794749736786,0.3291270434856415,2.147515296936035,Europe
Australia,7.162099838256836,1.899888515472412,1.203384280204773,0.7723036408424377,0.6764959692955017,0.2576091587543487,0.3410457968711853,2.011331558227539,Australia
Ireland,7.040800094604492,2.1290323734283447,1.1656070947647097,0.7788048386573792,0.6267539262771606,0.1896840333938598,0.4076792299747467,1.743192195892334,Europe
