country,happiness_score,gdp_per_capita,social_support,health,freedom,generosity,corruption,dystopia_residual,continent
Finland,7.804200172424316,1.8883804082870483,1.584899663925171,0.5345736742019653,0.7715099453926086,0.1263311952352523,0.5352985858917236,2.363241195678711,Europe
Denmark,7.586400032043457,1.949405550956726,1.5478748083114624,0.5373024940490723,0.7344158887863159,0.2084585130214691,0.5252211689949036,2.0837655067443848,Europe
Iceland,7.529600143432617,1.925507664680481,1.6196664571762085,0.5590963959693909,0.7381637096405029,0.2496354877948761,0.1871187835931778,2.250382423400879,Europe
Israel,7.472899913787842,1.8333979845046997,1.5206738710403442,0.5767300128936768,0.5685182809829712,0.1240477114915847,0.1582920551300048,2.6912899017333984,Asia
Netherlands,7.402999877929688,1.9422738552093504,1.4882279634475708,0.545473039150238,0.6723272204399109,0.2505474090576172,0.3940616548061371,2.110043525695801,Europe
Sweden,7.395199775695801,1.920950174331665,1.510329008102417,0.5618247389793396,0.753629207611084,0.2248480916023254,0.5204691290855408,1.9031271934509275,Europe
Norway,7.315499782562256,1.9944396018981936,1.5210087299346924,0.5441108345985413,0.7518265247344971,0.2118891179561615,0.4629554748535156,1.829270362854004,Europe
Switzerland,7.240099906921387,2.021803140640259,1.4628159999847412,0.5822543501853943,0.6779153347015381,0.1507497727870941,0.4747002124786377,1.8698468208312988,Europe
Luxembourg,7.22790002822876,2.199664354324341,1.3568785190582275,0.5488784313201904,0.7096718549728394,0.1492813527584076,0.4183795750141144,1.8451805114746096,Europe
New Zealand,7.122900009155273,1.841704249382019,1.5435456037521362,0.5127779245376587,0.6719269156455994,0.2302348315715789,0.4712207019329071,1.8515191078186035,Australia
Austria,7.097300052642822,1.9267181158065796,1.381974697113037,0.5345751643180847,0.6295605897903442,0.1909468322992324,0.3096530735492706,2.12389612197876,Europe
Australia,7.094600200653076,1.8987950086593628,1.4967434406280518,0.5318475961685181,0.6767511963844299,0.2424320876598358,0.3102680742740631,1.9377427101135256,Australia
Canada,6.960700035095215,1.8814388513565063,1.48391854763031,0.541386604309082,0.6558169722557068,0.2182796448469162,0.3644925951957702,1.8153767585754397,North America
Ireland,6.910799980163574,2.1521122455596924,1.4247467517852783,0.5386596918106079,0.6557011008262634,0.1856109052896499,0.4090867936611175,1.544905185699463,Europe
United States,6.893700122833252,1.980279803276062,1.459589958190918,0.3901733458042145,0.5573698282241821,0.2096725553274154,0.1722584664821624,2.1243481636047363,North America
Germany,6.8917999267578125,1.9194389581680296,1.4009678363800049,0.5386563539505005,0.6177360415458679,0.1525479108095169,0.3649562299251556,1.8975253105163576,Europe
Belgium,6.859099864959717,1.9068782329559328,1.448750376701355,0.5277373194694519,0.5902925133705139,0.137192815542221,0.2725510895252228,1.9757428169250488,Europe
Czechia,6.845200061798096,1.823468804359436,1.5439990758895874,0.4773488640785217,0.6931394934654236,0.1577660143375396,0.0502391494810581,2.0992393493652344,Europe
United Kingdom,6.795599937438965,1.8569034337997437,1.3662347793579102,0.5114142894744873,0.6261729598045349,0.2723426818847656,0.3402338325977325,1.8223381042480469,Europe
Lithuania,6.763000011444092,1.807981848716736,1.5105764865875244,0.4323169887065887,0.4873256087303161,0.0585177168250083,0.0888190567493438,2.377429485321045,Europe
