LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,5479.352,5568.227,11047.58,425.726
174,Country/Area,910.0,Comoros,364.397,362.285,726.682,390.479
262,Country/Area,910.0,Djibouti,506.738,513.574,1020.313,44.017
232,Country/Area,910.0,Eritrea,1528.741,1576.805,3105.546,25.635
231,Country/Area,910.0,Ethiopia,52115.09,51752.044,103867.135,103.867
404,Country/Area,910.0,Kenya,23456.597,23631.929,47088.526,81.085
450,Country/Area,910.0,Madagascar,12753.173,12673.53,25426.702,43.704
454,Country/Area,910.0,Malawi,8315.797,8769.79,17085.587,180.7
480,Country/Area,910.0,Mauritius,648.341,643.934,1292.275,636.589
175,Country/Area,910.0,Mayotte,115.684,129.895,245.579,654.879
508,Country/Area,910.0,Mozambique,12802.608,13744.965,26547.572,33.759
638,Country/Area,910.0,Réunion,411.087,453.925,865.012,346.005
646,Country/Area,910.0,Rwanda,5644.72,5995.302,11640.022,480.794
690,Country/Area,910.0,Seychelles,57.657,49.572,107.23,234.638
706,Country/Area,910.0,Somalia,6915.574,6891.39,13806.963,22.009
728,Country/Area,910.0,South Sudan,5494.104,5613.458,11107.561,19.689
800,Country/Area,910.0,Uganda,18550.371,18981.075,37531.446,187.838
834,Country/Area,910.0,United Republic of Tanzania,25693.439,26327.523,52020.962,58.727
894,Country/Area,910.0,Zambia,8101.736,8297.353,16399.089,22.06
716,Country/Area,910.0,Zimbabwe,6810.139,7588.874,14399.013,37.221
24,Country/Area,911.0,Angola,13905.216,14252.583,28157.798,22.586
120,Country/Area,911.0,Cameroon,11344.974,11418.441,22763.414,48.843
140,Country/Area,911.0,Central African Republic,2267.967,2361.354,4629.32,7.431
148,Country/Area,911.0,Chad,7342.393,7305.228,14647.621,11.632
178,Country/Area,911.0,Congo,2548.66,2548.92,5097.581,14.927
180,Country/Area,911.0,Democratic Republic of the Congo,40175.367,40860.164,81035.531,35.745
226,Country/Area,911.0,Equatorial Guinea,767.639,686.284,1453.923,51.833
