LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,6264.949,6352.087,12617.036,486.206
174,Country/Area,910.0,Comoros,403.523,398.64,802.163,431.039
262,Country/Area,910.0,Djibouti,548.317,556.871,1105.188,47.679
232,Country/Area,910.0,Eritrea,1622.323,1668.947,3291.271,27.168
231,Country/Area,910.0,Ethiopia,59626.569,59291.103,118917.671,118.918
404,Country/Area,910.0,Kenya,25983.597,26233.736,52217.334,89.917
450,Country/Area,910.0,Madagascar,14523.993,14429.564,28953.556,49.766
454,Country/Area,910.0,Malawi,9522.275,10011.612,19533.888,206.594
480,Country/Area,910.0,Mauritius,643.778,639.446,1283.223,632.13
175,Country/Area,910.0,Mayotte,135.589,148.781,284.37,758.321
508,Country/Area,910.0,Mozambique,14896.433,15887.255,30783.688,39.146
638,Country/Area,910.0,Réunion,409.054,452.392,861.446,344.578
646,Country/Area,910.0,Rwanda,6356.319,6709.519,13065.837,539.688
690,Country/Area,910.0,Seychelles,65.893,54.398,120.291,263.219
706,Country/Area,910.0,Somalia,8342.146,8309.044,16651.191,26.543
728,Country/Area,910.0,South Sudan,5263.796,5434.671,10698.467,18.964
800,Country/Area,910.0,Uganda,22019.413,22437.739,44457.152,222.5
834,Country/Area,910.0,United Republic of Tanzania,30204.465,30768.332,60972.798,68.833
894,Country/Area,910.0,Zambia,9433.237,9626.158,19059.395,25.638
716,Country/Area,910.0,Zimbabwe,7370.588,8156.301,15526.888,40.137
24,Country/Area,911.0,Angola,16539.639,16911.494,33451.132,26.832
120,Country/Area,911.0,Cameroon,13064.54,13146.019,26210.558,56.24
140,Country/Area,911.0,Central African Republic,2444.831,2581.798,5026.628,8.069
148,Country/Area,911.0,Chad,8642.229,8582.45,17224.679,13.679
178,Country/Area,911.0,Congo,2876.519,2876.271,5752.791,16.846
180,Country/Area,911.0,Democratic Republic of the Congo,47616.599,48373.399,95989.998,42.341
226,Country/Area,911.0,Equatorial Guinea,908.72,807.749,1716.468,61.193
266,Country/Area,911.0,Gabon,1182.718,1139.821,2322.539,9.014
678,Country/Area,911.0,Sao Tome and Principe,108.302,109.133,217.435,226.494
12,Country/Area,912.0,Algeria,22490.324,21551.767,44042.091,18.492
818,Country/Area,912.0,Egypt,55193.553,54121.571,109315.124,109.815
434,Country/Area,912.0,Libya,3587.984,3457.415,7045.399,4.203
504,Country/Area,912.0,Morocco,18471.768,18112.44,36584.208,81.972
729,Country/Area,912.0,Sudan,23223.742,23565.489,46789.231,26.509
788,Country/Area,912.0,Tunisia,5934.715,6039.342,11974.057,77.038
732,Country/Area,912.0,Western Sahara,303.121,246.244,549.365,2.065
72,Country/Area,913.0,Botswana,1180.817,1185.076,2365.894,4.175
748,Country/Area,913.0,Eswatini,585.072,607.658,1192.729,68.694
426,Country/Area,913.0,Lesotho,1087.804,1147.922,2235.727,73.641
516,Country/Area,913.0,Namibia,1330.536,1398.226,2728.762,3.314
710,Country/Area,913.0,South Africa,29381.179,31181.201,60562.381,49.608
204,Country/Area,914.0,Benin,6546.526,6523.643,13070.169,115.911
854,Country/Area,914.0,Burkina Faso,10693.067,10785.622,21478.69,78.504
132,Country/Area,914.0,Cabo Verde,261.788,252.892,514.679,127.712
384,Country/Area,914.0,Côte d'Ivoire,14767.494,14147.956,28915.449,90.929
270,Country/Area,914.0,Gambia,1251.981,1263.753,2515.733,248.59
288,Country/Area,914.0,Ghana,15934.246,15953.564,31887.809,140.142
324,Country/Area,914.0,Guinea,6592.746,6778.437,13371.183,54.416
624,Country/Area,914.0,Guinea-Bissau,993.13,1020.125,2013.255,71.595
430,Country/Area,914.0,Liberia,2567.665,2581.798,5149.463,53.462
466,Country/Area,914.0,Mali,10960.972,10752.863,21713.836,17.795
478,Country/Area,914.0,Mauritania,2250.118,2350.013,4600.131,4.463
562,Country/Area,914.0,Niger,12041.757,11675.856,23717.613,18.724
566,Country/Area,914.0,Nigeria,108098.757,105897.424,213996.181,234.962
654,Country/Area,914.0,Saint Helena,2.755,2.676,5.43,13.923
686,Country/Area,914.0,Senegal,8499.022,8290.197,16789.219,87.203
694,Country/Area,914.0,Sierra Leone,3944.195,3968.363,7912.558,110.295
768,Country/Area,914.0,Togo,4358.407,4311.314,8669.72,159.399
398,Country/Area,5500.0,Kazakhstan,9452.899,10029.218,19482.117,7.216
417,Country/Area,5500.0,Kyrgyzstan,3298.41,3365.729,6664.14,34.745
762,Country/Area,5500.0,Tajikistan,4775.554,4973.757,9749.31,68.129
795,Country/Area,5500.0,Turkmenistan,3403.211,3546.7,6949.912,14.789
860,Country/Area,5500.0,Uzbekistan,16928.447,16657.925,33586.372,78.952
