LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,5886.059,5973.387,11859.446,457.011
174,Country/Area,910.0,Comoros,388.069,383.521,771.59,414.61
262,Country/Area,910.0,Djibouti,532.032,539.851,1071.882,46.242
232,Country/Area,910.0,Eritrea,1572.793,1619.967,3192.76,26.355
231,Country/Area,910.0,Ethiopia,56508.48,56155.672,112664.152,112.664
404,Country/Area,910.0,Kenya,24995.719,25211.388,50207.107,86.455
450,Country/Area,910.0,Madagascar,13792.207,13702.719,27494.926,47.259
454,Country/Area,910.0,Malawi,9027.518,9500.563,18528.081,195.957
480,Country/Area,910.0,Mauritius,646.826,642.008,1288.833,634.893
175,Country/Area,910.0,Mayotte,127.725,141.964,269.69,719.172
508,Country/Area,910.0,Mozambique,14025.748,14992.896,29018.644,36.902
638,Country/Area,910.0,Réunion,409.781,447.161,856.942,342.777
646,Country/Area,910.0,Rwanda,6067.944,6420.052,12487.996,515.82
690,Country/Area,910.0,Seychelles,62.597,52.443,115.04,251.729
706,Country/Area,910.0,Somalia,7740.261,7712.226,15452.487,24.632
728,Country/Area,910.0,South Sudan,4978.229,5144.748,10122.977,17.944
800,Country/Area,910.0,Uganda,20570.964,20994.867,41565.831,208.03
834,Country/Area,910.0,United Republic of Tanzania,28455.327,28981.818,57437.145,64.842
894,Country/Area,910.0,Zambia,8892.364,9081.205,17973.569,24.178
716,Country/Area,910.0,Zimbabwe,7125.471,7908.981,15034.452,38.864
24,Country/Area,911.0,Angola,15467.791,15829.363,31297.155,25.104
120,Country/Area,911.0,Cameroon,12364.936,12441.447,24806.383,53.227
140,Country/Area,911.0,Central African Republic,2386.43,2492.227,4878.657,7.831
148,Country/Area,911.0,Chad,8105.064,8051.467,16156.531,12.831
178,Country/Area,911.0,Congo,2741.74,2741.378,5483.118,16.056
180,Country/Area,911.0,Democratic Republic of the Congo,44662.433,45385.21,90047.644,39.72
