LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,6978.594,7069.192,14047.786,541.341
174,Country/Area,910.0,Comoros,435.815,430.813,866.628,465.679
262,Country/Area,910.0,Djibouti,579.313,589.409,1168.722,50.419
232,Country/Area,910.0,Eritrea,1745.353,1790.249,3535.603,29.185
231,Country/Area,910.0,Ethiopia,66167.291,65892.477,132059.767,132.06
404,Country/Area,910.0,Kenya,28056.072,28376.873,56432.944,97.176
450,Country/Area,910.0,Madagascar,16032.529,15932.427,31964.956,54.942
454,Country/Area,910.0,Malawi,10567.044,11088.242,21655.286,229.03
480,Country/Area,910.0,Mauritius,634.514,636.655,1271.169,626.192
175,Country/Area,910.0,Mayotte,156.062,170.444,326.505,870.681
508,Country/Area,910.0,Mozambique,16802.082,17829.684,34631.766,44.039
638,Country/Area,910.0,Réunion,417.358,461.233,878.591,351.436
646,Country/Area,910.0,Rwanda,6954.758,7301.809,14256.567,588.871
690,Country/Area,910.0,Seychelles,71.944,58.474,130.418,285.38
706,Country/Area,910.0,Somalia,9522.79,9486.361,19009.151,30.301
728,Country/Area,910.0,South Sudan,5874.364,6069.044,11943.408,21.17
800,Country/Area,910.0,Uganda,24805.126,25209.966,50015.092,250.317
834,Country/Area,910.0,United Republic of Tanzania,33983.247,34576.91,68560.157,77.399
894,Country/Area,910.0,Zambia,10550.24,10764.715,21314.956,28.673
716,Country/Area,910.0,Zimbabwe,7929.088,8705.284,16634.373,43.0
24,Country/Area,911.0,Angola,18747.466,19138.383,37885.849,30.389
120,Country/Area,911.0,Cameroon,14514.341,14609.403,29123.744,62.491
140,Country/Area,911.0,Central African Republic,2557.962,2772.727,5330.69,8.557
148,Country/Area,911.0,Chad,10181.358,10117.765,20299.123,16.121
178,Country/Area,911.0,Congo,3166.095,3166.866,6332.961,18.545
180,Country/Area,911.0,Democratic Republic of the Congo,54216.832,55059.432,109276.265,48.202
226,Country/Area,911.0,Equatorial Guinea,997.749,894.768,1892.516,67.469
266,Country/Area,911.0,Gabon,1288.745,1250.207,2538.952,9.854
678,Country/Area,911.0,Sao Tome and Principe,117.078,118.459,235.536,245.351
12,Country/Area,912.0,Algeria,23874.384,22939.924,46814.308,19.656
818,Country/Area,912.0,Egypt,58840.145,57698.113,116538.258,117.071
434,Country/Area,912.0,Libya,3752.97,3628.053,7381.023,4.403
504,Country/Area,912.0,Morocco,19202.022,18879.151,38081.173,85.326
729,Country/Area,912.0,Sudan,25012.749,25436.214,50448.963,28.582
788,Country/Area,912.0,Tunisia,6068.423,6208.686,12277.109,78.988
732,Country/Area,912.0,Western Sahara,325.421,265.085,590.506,2.22
72,Country/Area,913.0,Botswana,1256.565,1264.573,2521.139,4.449
748,Country/Area,913.0,Eswatini,610.191,632.63,1242.822,71.579
426,Country/Area,913.0,Lesotho,1138.892,1198.53,2337.423,76.99
516,Country/Area,913.0,Namibia,1479.806,1550.324,3030.131,3.681
710,Country/Area,913.0,South Africa,31152.952,32854.234,64007.187,52.43
204,Country/Area,914.0,Benin,7252.565,7210.159,14462.724,128.261
854,Country/Area,914.0,Burkina Faso,11730.086,11818.695,23548.781,86.07
132,Country/Area,914.0,Cabo Verde,266.947,257.93,524.877,130.242
384,Country/Area,914.0,Côte d'Ivoire,16246.681,15687.549,31934.23,100.422
270,Country/Area,914.0,Gambia,1374.334,1385.653,2759.988,272.726
288,Country/Area,914.0,Ghana,17194.242,17233.172,34427.414,151.303
324,Country/Area,914.0,Guinea,7301.267,7453.518,14754.785,60.047
624,Country/Area,914.0,Guinea-Bissau,1088.01,1113.342,2201.352,78.284
430,Country/Area,914.0,Liberia,2801.892,2810.925,5612.817,58.273
466,Country/Area,914.0,Mali,12350.773,12127.823,24478.595,20.061
478,Country/Area,914.0,Mauritania,2535.726,2633.669,5169.395,5.015
562,Country/Area,914.0,Niger,13725.329,13307.084,27032.412,21.341
