LocID,LocTypeName,ParentID,Location,PopMale,PopFemale,PopTotal,PopDensity
108,Country/Area,910.0,Burundi,6616.267,6704.83,13321.097,513.337
174,Country/Area,910.0,Comoros,419.558,414.63,834.188,448.247
262,Country/Area,910.0,Djibouti,563.858,573.238,1137.096,49.055
232,Country/Area,910.0,Eritrea,1681.805,1727.642,3409.447,28.144
231,Country/Area,910.0,Ethiopia,62841.232,62543.054,125384.287,125.384
404,Country/Area,910.0,Kenya,26980.543,27271.917,54252.461,93.421
450,Country/Area,910.0,Madagascar,15266.903,15170.358,30437.261,52.316
454,Country/Area,910.0,Malawi,10030.976,10537.752,20568.728,217.539
480,Country/Area,910.0,Mauritius,638.999,637.13,1276.13,628.635
175,Country/Area,910.0,Mayotte,145.575,159.694,305.269,814.049
508,Country/Area,910.0,Mozambique,15823.809,16832.437,32656.246,41.527
638,Country/Area,910.0,Réunion,414.375,457.166,871.54,348.616
646,Country/Area,910.0,Rwanda,6649.385,7001.645,13651.03,563.859
690,Country/Area,910.0,Seychelles,69.144,56.378,125.522,274.666
706,Country/Area,910.0,Somalia,8919.556,8882.342,17801.897,28.377
728,Country/Area,910.0,South Sudan,5421.742,5599.435,11021.177,19.536
800,Country/Area,910.0,Uganda,23449.75,23862.969,47312.719,236.792
834,Country/Area,910.0,United Republic of Tanzania,32065.744,32646.077,64711.821,73.054
894,Country/Area,910.0,Zambia,9973.857,10179.081,20152.938,27.11
716,Country/Area,910.0,Zimbabwe,7642.717,8426.339,16069.056,41.538
24,Country/Area,911.0,Angola,17626.416,18008.612,35635.029,28.583
120,Country/Area,911.0,Cameroon,13772.296,13860.476,27632.771,59.291
140,Country/Area,911.0,Central African Republic,2456.263,2641.776,5098.039,8.183
148,Country/Area,911.0,Chad,9258.737,9196.578,18455.316,14.656
178,Country/Area,911.0,Congo,3017.464,3017.64,6035.104,17.672
180,Country/Area,911.0,Democratic Republic of the Congo,50798.301,51598.667,102396.968,45.167
226,Country/Area,911.0,Equatorial Guinea,952.683,850.861,1803.545,64.298
266,Country/Area,911.0,Gabon,1235.742,1195.005,2430.747,9.434
678,Country/Area,911.0,Sao Tome and Principe,112.605,113.701,226.305,235.734
12,Country/Area,912.0,Algeria,23206.875,22270.515,45477.389,19.094
818,Country/Area,912.0,Egypt,56867.199,55751.05,112618.25,113.133
434,Country/Area,912.0,Libya,3673.879,3549.925,7223.805,4.31
504,Country/Area,912.0,Morocco,18837.518,18491.547,37329.064,83.641
729,Country/Area,912.0,Sudan,24500.431,24882.914,49383.346,27.978
788,Country/Area,912.0,Tunisia,5997.034,6122.299,12119.334,77.973
732,Country/Area,912.0,Western Sahara,313.587,255.151,568.739,2.138
72,Country/Area,913.0,Botswana,1217.995,1221.897,2439.892,4.305
748,Country/Area,913.0,Eswatini,598.334,620.582,1218.917,70.202
426,Country/Area,913.0,Lesotho,1112.982,1173.129,2286.11,75.3
516,Country/Area,913.0,Namibia,1410.918,1478.744,2889.662,3.51
710,Country/Area,913.0,South Africa,30305.843,32072.567,62378.41,51.096
204,Country/Area,914.0,Benin,6896.458,6863.042,13759.501,122.025
854,Country/Area,914.0,Burkina Faso,11211.359,11297.68,22509.038,82.27
132,Country/Area,914.0,Cabo Verde,264.411,255.331,519.741,128.968
384,Country/Area,914.0,Côte d'Ivoire,15491.845,14903.156,30395.002,95.582
270,Country/Area,914.0,Gambia,1312.497,1323.973,2636.47,260.521
288,Country/Area,914.0,Ghana,16560.812,16588.34,33149.152,145.685
324,Country/Area,914.0,Guinea,6943.315,7111.823,14055.137,57.2
624,Country/Area,914.0,Guinea-Bissau,1039.679,1065.85,2105.529,74.877
430,Country/Area,914.0,Liberia,2680.814,2692.48,5373.294,55.786
466,Country/Area,914.0,Mali,11644.586,11428.053,23072.64,18.909
478,Country/Area,914.0,Mauritania,2388.274,2487.363,4875.637,4.73
562,Country/Area,914.0,Niger,12851.424,12460.549,25311.973,19.983
566,Country/Area,914.0,Nigeria,112784.704,110366.192,223150.896,245.013
654,Country/Area,914.0,Saint Helena,2.685,2.658,5.343,13.7
686,Country/Area,914.0,Senegal,8976.177,8674.926,17651.103,91.68
694,Country/Area,914.0,Sierra Leone,4127.081,4149.726,8276.807,115.372
768,Country/Area,914.0,Togo,4572.254,4517.484,9089.738,167.122
398,Country/Area,5500.0,Kazakhstan,9748.452,10286.156,20034.609,7.421
417,Country/Area,5500.0,Kyrgyzstan,3439.564,3516.224,6955.788,36.266
762,Country/Area,5500.0,Tajikistan,4995.578,5186.644,10182.222,71.155
795,Country/Area,5500.0,Turkmenistan,3542.13,3688.064,7230.193,15.386
860,Country/Area,5500.0,Uzbekistan,17618.71,17320.246,34938.955,82.132
156,Country/Area,906.0,China,727090.905,698088.664,1425179.569,148.456
344,Country/Area,906.0,"China, Hong Kong SAR",3367.865,4098.05,7465.915,6793.371
446,Country/Area,906.0,"China, Macao SAR",325.768,378.589,704.356,22011.141
158,Country/Area,906.0,"China, Taiwan Province of China",11615.575,11804.536,23420.111,661.398
408,Country/Area,906.0,Dem. People's Republic of Korea,13002.441,13326.404,26328.845,218.66
392,Country/Area,906.0,Japan,61026.469,63971.109,124997.578,331.713
496,Country/Area,906.0,Mongolia,1690.745,1695.27,3386.015,2.174
410,Country/Area,906.0,Republic of Korea,25840.655,25941.857,51782.512,523.357
4,Country/Area,5501.0,Afghanistan,20475.675,20103.167,40578.842,62.497
50,Country/Area,5501.0,Bangladesh,83399.395,85985.503,169384.897,1301.259
64,Country/Area,5501.0,Bhutan,418.19,362.724,780.914,20.339
356,Country/Area,5501.0,India,735531.456,689891.756,1425423.212,479.426
364,Country/Area,5501.0,Iran (Islamic Republic of),45529.147,43995.1,89524.246,54.965
462,Country/Area,5501.0,Maldives,326.187,197.92,524.106,1747.022
524,Country/Area,5501.0,Nepal,14345.261,15370.175,29715.436,201.897
586,Country/Area,5501.0,Pakistan,124068.4,119632.267,243700.667,316.133
144,Country/Area,5501.0,Sri Lanka,11052.402,11782.563,22834.965,364.165
96,Country/Area,920.0,Brunei Darussalam,242.166,213.203,455.37,78.989
116,Country/Area,920.0,Cambodia,8421.853,8779.871,17201.724,95.019
360,Country/Area,920.0,Indonesia,140070.494,138760.035,278830.529,145.913
418,Country/Area,920.0,Lao People's Democratic Republic,3799.149,3759.858,7559.007,32.751
458,Country/Area,920.0,Malaysia,18204.478,16491.015,34695.493,105.602
104,Country/Area,920.0,Myanmar,26779.327,26977.461,53756.787,82.286
608,Country/Area,920.0,Philippines,56849.247,57115.092,113964.338,379.881
702,Country/Area,920.0,Singapore,2919.697,2730.188,5649.885,8272.159
764,Country/Area,920.0,Thailand,35005.295,36730.034,71735.329,140.412
626,Country/Area,920.0,Timor-Leste,690.107,679.188,1369.295,92.084
704,Country/Area,920.0,Viet Nam,48821.207,50859.448,99680.655,318.053
51,Country/Area,922.0,Armenia,1333.939,1546.936,2880.874,101.211
31,Country/Area,922.0,Azerbaijan,5041.776,5253.528,10295.304,124.553
48,Country/Area,922.0,Bahrain,950.328,583.13,1533.459,1958.441
196,Country/Area,922.0,Cyprus,670.824,660.545,1331.37,144.088
268,Country/Area,922.0,Georgia,1768.05,2026.734,3794.784,54.609
368,Country/Area,922.0,Iraq,22099.524,21971.026,44070.551,101.515
376,Country/Area,922.0,Israel,4528.556,4574.595,9103.151,420.605
400,Country/Area,922.0,Jordan,5812.291,5443.973,11256.263,126.768
414,Country/Area,922.0,Kuwait,2802.1,1787.41,4589.511,257.577
422,Country/Area,922.0,Lebanon,2791.093,2953.396,5744.489,561.534
512,Country/Area,922.0,Oman,2911.7,1818.526,4730.226,15.283
634,Country/Area,922.0,Qatar,2078.144,814.311,2892.455,249.651
682,Country/Area,922.0,Saudi Arabia,19541.493,12633.859,32175.352,14.967
275,Country/Area,922.0,State of Palestine,2637.767,2667.503,5305.27,881.274
760,Country/Area,922.0,Syrian Arab Republic,11228.512,11233.661,22462.173,122.27
792,Country/Area,922.0,Türkiye,43491.874,43566.598,87058.473,113.121
784,Country/Area,922.0,United Arab Emirates,6565.499,3676.588,10242.086,144.206
887,Country/Area,922.0,Yemen,19356.445,18866.431,38222.876,72.396
